detid,flow
441496282#0,5.0
441496282#1,5.0
441496282#2,5.0
441496282#3,5.0
441496282#4,4.0
115604047#3,1.0
-115604047#3,1.0
-115604047#2,4.0
279952229#5,3.0
115604057#1,3.0
-115604057#1,3.0
279952229#6,0.0
-819269916#2,0.0
-115604048#2,0.0
279952229#3,0.0
279952229#4,4.0
-115604047#1,0.0
115604047#1,0.0
154551772#1,3.0
154551772#3,2.0
115604043#0,2.0
-115602933#4,3.0
-115602933#3,3.0
-115602933#2,0.0
115604043#1,0.0
279952229#2,0.0
115604050#1,3.0
-115604051#2,0.0
279952229#1,0.0
-279952229#4,5.0
-115604050#2,1.0
115604051#0,1.0
-115602933#5,1.0
115604051#1,0.0
