id,epsilon,q_table
0,0.31,-32.86  -32.98  -30.42
1,0.45,-27.67  -14.24  -19.50
2,0.72,-26.76  -14.65  -27.88
3,0.37,-21.84  -17.42  -17.08
4,0.40,-25.13  -23.07  -24.36
5,0.55,-29.73  -20.21  -24.91
6,0.60,-15.69  -22.91  -17.06
7,0.43,-28.74  -16.92  -30.12
8,0.71,-27.56  -23.14  -9.67
9,0.74,-10.24  -29.05  -28.28
10,0.59,-31.86  -29.32  -24.50
11,0.55,-36.09  -13.17  -25.80
12,0.36,-26.62  -28.20  -27.78
13,0.69,-23.51  -25.10  -36.89
14,0.66,-20.83  -19.50  -18.57
15,0.64,-13.05  -21.46  -17.05
16,0.52,-19.15  -26.42  -23.08
17,0.39,-29.76  -37.68  -33.90
18,0.40,-18.48  -21.95  -18.53
19,0.61,-25.84  -21.51  -20.10
20,0.38,-25.15  -30.55  -28.28
21,0.64,-20.13  -23.92  -25.36
22,0.50,-16.94  -24.89  -18.44
23,0.50,-14.69  -21.79  -9.25
24,0.47,-33.13  -18.15  -24.99
25,0.45,-13.81  -16.04  -28.89
26,0.45,-14.56  -18.65  -21.68
27,0.74,-23.91  -26.48  -29.23
28,0.71,-20.97  -22.50  -10.55
29,0.53,-24.37  -21.12  -38.45
30,0.47,-28.90  -28.71  -33.22
31,0.56,-26.53  -18.14  -19.19
32,0.42,-21.56  -27.51  -25.03
33,0.61,-19.08  -11.79  -34.28
34,0.47,-13.26  -20.56  -26.19
35,0.63,-33.25  -27.37  -15.31
36,0.65,-29.40  -24.37  -23.84
37,0.50,-32.67  -29.94  -19.93
38,0.48,-19.22  -23.04  -17.30
39,0.42,-24.39  -28.56  -16.67
40,0.75,-26.21  -29.62  -17.28
41,0.72,-30.69  -22.94  -31.87
42,0.54,-27.04  -23.22  -37.72
43,0.40,-22.24  -27.77  -28.11
44,0.60,-27.96  -25.97  -19.48
45,0.62,-24.02  -27.96  -31.89
46,0.38,-16.35  -19.73  -20.01
47,0.48,-20.18  -22.56  -30.34
48,0.71,-23.04  -28.99  -26.29
49,0.35,-29.83  -32.58  -25.94
50,0.57,-17.57  -17.23  -22.90
51,0.66,-29.73  -33.97  -28.66
52,0.57,-18.86  -19.57  -24.70
53,0.35,-27.93  -31.11  -28.43
54,0.64,-35.50  -24.44  -23.85
55,0.61,-27.55  -31.94  -36.95
56,0.60,-14.18  -22.33  -16.32
57,0.41,-36.49  -17.83  -24.72
58,0.63,-28.69  -19.67  -19.62
59,0.60,-17.78  -19.71  -24.40
60,0.39,-26.98  -16.66  -18.60
61,0.33,-20.59  -20.72  -21.46
62,0.63,-19.78  -17.57  -16.41
63,0.54,-33.44  -30.48  -26.31
64,0.64,-29.46  -28.55  -31.05
65,0.47,-21.97  -37.72  -24.74
66,0.47,-15.80  -33.51  -30.87
67,0.64,-26.81  -21.77  -27.97
68,0.65,-16.39  -19.15  -19.36
69,0.64,-33.11  -30.22  -25.60
70,0.32,-24.49  -29.59  -29.10
