id,epsilon,q_table
0,0.45,-15.96  -27.50  -30.42
1,0.63,-7.52  -14.24  -19.50
2,0.82,-28.95  0.00  -20.25
3,0.50,-7.32  -10.50  -11.57
4,0.58,-21.99  -21.89  -11.85
5,0.68,-23.63  -13.80  -19.76
6,0.73,-4.63  -16.13  -14.41
7,0.58,-19.40  -16.92  -19.95
8,0.77,-12.23  -17.66  0.00
9,0.84,0.00  -16.66  -20.39
10,0.74,-31.86  -14.31  0.00
11,0.68,-30.50  0.00  -23.21
12,0.53,-19.44  -17.96  -18.52
13,0.76,-26.08  -19.16  -31.81
14,0.74,-13.84  -11.96  -17.27
15,0.68,-13.05  -8.40  -10.79
16,0.69,-10.03  -21.11  -10.55
17,0.51,-22.15  -34.95  -18.74
18,0.54,-16.18  -15.31  -10.02
19,0.76,-25.84  0.00  -16.17
20,0.57,-21.35  -30.43  0.00
21,0.71,-10.58  -12.52  -17.48
22,0.63,-9.89  -12.62  -15.90
23,0.62,-14.69  -9.03  -9.25
24,0.61,-21.50  -18.15  -19.13
25,0.63,0.00  -9.46  -25.54
26,0.61,-8.23  0.00  -21.68
27,0.78,-24.42  -17.85  -29.28
28,0.76,-9.09  -13.83  -10.55
29,0.62,-10.65  -14.28  -28.96
30,0.63,-28.90  -17.29  -16.91
31,0.63,-21.29  -12.74  -13.39
32,0.55,-10.77  -7.61  -25.03
33,0.72,-11.56  -11.79  -24.68
34,0.57,-7.81  -12.42  -15.59
35,0.69,-24.78  -23.04  -10.98
36,0.72,-23.88  -18.83  -23.84
37,0.67,-15.95  -19.72  -19.93
38,0.60,-19.22  -13.02  -17.30
39,0.59,-10.44  -23.86  0.00
40,0.83,-14.00  -18.23  -17.28
41,0.75,-14.63  -22.94  -13.30
42,0.71,-19.86  -19.37  -36.18
43,0.60,-20.91  -22.83  -12.10
44,0.74,-17.92  -22.12  0.00
45,0.75,-18.37  0.00  -26.05
46,0.50,-16.35  -12.80  0.00
47,0.61,-18.00  -20.40  -16.37
48,0.80,-23.04  -19.00  -8.66
49,0.51,-19.27  -17.90  -24.94
50,0.69,-7.60  -10.46  -19.80
51,0.77,-16.33  -26.24  -16.31
52,0.68,-14.58  -15.12  -18.29
53,0.48,-27.93  -20.34  -17.60
54,0.71,-25.48  -15.40  -12.86
55,0.72,-27.55  -23.48  -14.10
56,0.67,-14.18  -12.95  -6.58
57,0.60,-33.15  -11.48  -10.57
58,0.70,-12.83  -14.01  -16.50
59,0.68,-14.52  0.00  -19.10
60,0.58,-17.99  -14.26  -12.84
61,0.48,-20.59  -10.91  -8.61
62,0.75,-9.70  -17.57  -10.54
63,0.63,-25.48  0.00  -32.33
64,0.76,-15.36  -20.61  -21.21
65,0.56,-12.45  -26.47  -21.29
66,0.61,-15.80  -17.33  -28.61
67,0.69,-21.57  -10.16  -12.69
68,0.69,-16.39  -5.63  -12.93
69,0.68,-28.96  -19.11  -29.49
70,0.48,-14.75  -18.55  -17.35
71,0.44,-18.68  -29.63  -26.67
72,0.60,-13.57  -15.76  -4.14
73,0.54,-31.50  -12.74  -31.66
74,0.73,-17.96  0.00  -9.36
75,0.66,-7.53  -13.61  -15.25
76,0.47,-12.76  -8.80  -19.25
77,0.65,-8.59  -25.56  -19.24
78,0.57,-9.60  -13.98  -5.07
79,0.76,-20.29  -22.32  -15.44
80,0.71,-27.23  -6.93  -11.65
81,0.72,-13.80  -12.75  -12.38
82,0.61,-22.81  -11.42  -14.18
83,0.66,-23.82  -23.49  -14.75
84,0.58,-7.59  -13.60  -22.39
85,0.55,-8.77  -15.76  -7.57
86,0.83,-19.67  -13.22  -33.02
87,0.70,-5.75  -17.84  -10.70
88,0.55,-17.39  -5.91  -5.34
89,0.69,-11.36  -21.92  -21.01
90,0.65,-34.33  -18.80  -23.94
91,0.58,0.00  -16.90  -9.82
92,0.71,-22.25  -22.98  -13.45
93,0.49,-24.15  0.00  -30.06
94,0.54,-21.32  -22.03  -27.45
95,0.42,-9.15  -15.03  -12.08
96,0.70,-12.78  0.00  -31.00
97,0.49,-11.22  -7.95  -13.78
98,0.62,-30.08  -19.07  -18.78
99,0.46,-12.03  -14.03  -18.76
100,0.63,-23.61  -26.08  -13.60
101,0.73,-19.50  -14.04  -13.24
102,0.50,-30.10  -19.71  -30.41
103,0.55,-11.62  -27.52  -12.26
104,0.74,0.00  -25.21  -28.47
105,0.64,-28.86  0.00  -23.90
106,0.63,-20.14  -39.81  -17.94
107,0.73,-10.99  -12.87  -20.01
108,0.68,-6.18  -11.02  -15.08
109,0.52,-15.39  -16.79  -8.92
110,0.60,-16.53  -15.79  -13.56
111,0.83,-28.24  -12.78  -15.95
112,0.68,-23.51  -17.71  -30.79
113,0.67,-15.64  -12.40  -10.20
114,0.59,-20.63  -16.90  -25.59
115,0.80,-11.32  -10.04  -17.89
116,0.59,-22.48  -27.90  -19.19
117,0.71,0.00  -21.20  -19.32
118,0.88,-33.17  0.00  -34.44
119,0.48,-13.90  -20.90  0.00
120,0.81,0.00  -31.86  -23.82
121,0.54,-17.39  -14.30  -19.18
122,0.78,-17.34  -23.97  -7.10
123,0.56,-7.58  -4.27  -17.36
124,0.66,-14.90  -20.03  -15.88
125,0.69,-6.80  -25.89  -8.63
126,0.68,-29.31  -11.08  -16.65
127,0.49,-13.67  -13.95  -14.58
128,0.51,-15.95  -12.95  -9.16
129,0.51,-18.37  -15.70  -10.22
130,0.66,-10.03  -19.69  -9.47
131,0.68,-5.37  -5.15  -17.82
132,0.67,-28.81  -16.37  -20.25
133,0.53,-6.69  -22.32  -10.03
134,0.80,-29.91  -8.82  -12.56
135,0.73,-10.11  -19.49  -13.08
136,0.57,-22.70  -19.52  -18.91
137,0.65,-33.81  -15.88  0.00
138,0.74,-14.67  -28.50  -23.45
139,0.75,-14.29  -19.91  -25.21
140,0.66,0.00  -16.32  -17.69
141,0.64,-7.31  -21.55  -14.73
142,0.70,-10.27  -27.56  0.00
143,0.89,-26.95  -15.59  0.00
144,0.64,-26.03  -10.62  -27.76
145,0.65,-22.44  -17.21  -19.16
146,0.63,-29.64  -17.14  -9.53
147,0.73,-5.51  -15.59  -12.01
148,0.65,-32.51  -26.06  -22.95
149,0.66,-9.28  -6.88  -13.81
150,0.62,-8.44  -19.39  -12.78
151,0.69,-15.66  -23.33  -23.27
152,0.59,-17.94  -20.24  -18.28
153,0.63,-10.52  -15.71  -24.38
154,0.49,-15.67  -9.84  -16.27
155,0.55,-21.37  -8.22  -13.12
156,0.71,-20.78  -22.05  -20.15
157,0.66,-17.94  -32.41  -17.00
158,0.46,-18.41  -6.28  -15.56
159,0.51,-25.45  0.00  -19.85
160,0.73,-11.12  -14.88  -19.65
161,0.68,-26.36  -11.49  -16.07
162,0.50,-22.96  -19.99  -11.62
163,0.58,-32.65  -14.98  -13.79
164,0.59,0.00  -11.16  -29.68
165,0.60,-9.27  -25.41  0.00
166,0.65,-14.73  -24.44  -9.19
167,0.59,-26.10  -13.35  -22.88
168,0.68,-27.34  -18.62  -15.08
169,0.77,-9.51  0.00  -29.75
170,0.79,-29.76  -15.63  -23.53
171,0.54,-10.41  -21.60  -10.21
172,0.56,-7.82  -16.18  -20.39
173,0.58,-21.73  -9.73  -33.10
174,0.45,-10.88  -13.79  -8.15
175,0.54,-13.76  -9.32  -19.22
176,0.59,-7.82  -12.96  -14.14
177,0.55,-24.27  -29.59  -24.83
178,0.59,-26.20  -24.91  -10.19
179,0.68,-15.87  0.00  -33.36
180,0.77,-11.98  -18.91  -18.72
181,0.78,-30.23  -22.33  -23.02
182,0.70,-17.03  -21.28  -7.46
183,0.54,-13.21  -8.46  -12.12
184,0.79,-18.54  -8.21  -11.19
185,0.63,-25.31  -12.30  -12.58
186,0.63,-11.75  -14.26  -14.51
187,0.70,0.00  -29.34  -34.51
188,0.72,-16.22  -11.17  -16.92
189,0.63,-12.18  -9.21  -24.56
190,0.80,-21.64  -12.27  -19.85
191,0.52,-8.80  -11.11  -15.24
192,0.62,-14.78  -20.65  -16.37
193,0.54,-13.54  -16.80  -19.55
194,0.72,-14.24  -28.03  -28.21
195,0.46,-9.04  -15.03  -8.17
196,0.50,-27.87  -20.56  -20.41
197,0.63,-18.80  -16.91  -20.40
198,0.51,-13.07  -13.64  -9.69
199,0.68,-15.81  -23.23  -28.33
200,0.62,-23.91  0.00  -26.27
201,0.77,-23.91  -12.36  -14.25
202,0.68,-17.43  -20.15  -17.03
203,0.62,-11.15  -21.05  -29.70
204,0.55,-14.36  -6.14  -16.38
205,0.60,-11.84  -22.19  -18.31
206,0.86,-17.54  -18.75  -23.94
207,0.65,-18.95  -11.59  -14.49
208,0.59,-22.96  -32.35  -20.96
209,0.76,-6.89  -23.71  -11.46
210,0.55,-18.57  -19.87  -14.37
211,0.78,-17.24  -7.79  -18.73
212,0.66,-25.37  -21.87  -10.20
213,0.73,-15.50  -20.57  -17.30
214,0.62,-14.15  -22.04  -7.55
215,0.89,-19.09  -17.99  -10.02
216,0.60,-15.24  -12.41  -13.22
217,0.58,-9.03  -24.10  -14.52
