id,epsilon,q_table
0,0.28,-32.86  -32.98  -27.64
1,0.41,-27.67  -21.73  -19.50
2,0.70,-26.76  -27.24  -27.88
3,0.34,-21.84  -20.30  -17.08
4,0.37,-25.13  -22.20  -24.36
5,0.52,-29.73  -29.27  -24.91
6,0.57,-17.09  -22.91  -17.06
7,0.39,-28.74  -24.80  -30.12
8,0.69,-27.56  -23.14  -15.18
9,0.72,-20.36  -29.05  -28.28
10,0.56,-31.86  -29.32  -28.89
11,0.52,-36.09  -13.17  -35.34
12,0.33,-25.84  -28.20  -27.78
13,0.68,-23.51  -25.10  -29.63
14,0.64,-20.83  -19.50  -25.00
15,0.63,-18.31  -21.46  -17.05
16,0.49,-29.30  -26.42  -23.08
17,0.36,-37.14  -37.68  -33.90
18,0.37,-18.85  -21.95  -18.53
19,0.58,-25.84  -21.51  -25.86
20,0.34,-25.15  -30.55  -33.31
21,0.63,-25.02  -23.92  -25.36
22,0.47,-24.34  -24.89  -18.44
23,0.47,-14.69  -25.84  -9.25
24,0.45,-33.13  -26.77  -24.99
25,0.42,-18.61  -16.04  -28.89
26,0.41,-21.54  -18.65  -21.68
27,0.72,-28.47  -26.48  -29.23
28,0.69,-20.97  -27.27  -10.55
29,0.51,-25.01  -21.12  -38.45
30,0.44,-28.90  -25.13  -33.22
31,0.54,-26.53  -25.08  -19.19
32,0.40,-21.56  -27.51  -23.54
33,0.59,-19.08  -19.74  -34.28
34,0.45,-13.26  -20.56  -30.17
35,0.62,-33.25  -27.37  -17.86
36,0.63,-31.95  -24.37  -23.84
37,0.46,-32.67  -29.94  -23.91
38,0.45,-19.22  -27.52  -17.30
39,0.38,-24.39  -28.56  -21.75
40,0.73,-26.21  -29.62  -26.18
41,0.71,-30.69  -30.73  -31.87
42,0.50,-29.80  -23.22  -37.72
43,0.36,-22.24  -27.77  -30.22
44,0.57,-28.82  -25.97  -19.48
45,0.59,-23.88  -27.96  -31.89
46,0.35,-22.94  -19.73  -20.01
47,0.45,-20.18  -27.17  -30.34
48,0.69,-23.04  -28.99  -29.59
49,0.32,-29.83  -32.58  -26.35
50,0.54,-17.57  -17.87  -22.90
51,0.63,-29.73  -33.97  -28.76
52,0.55,-26.71  -19.57  -24.70
53,0.32,-25.99  -31.11  -28.43
54,0.62,-35.50  -32.42  -23.85
55,0.59,-26.74  -31.94  -36.95
