id,epsilon,q_table
0,0.50,-15.96  -27.50  -11.77
1,0.69,-7.52  -7.53  -19.50
2,0.85,-13.54  0.00  -20.25
3,0.54,-7.32  -4.57  -11.57
4,0.63,-21.99  -13.35  -11.85
5,0.72,-19.39  -13.80  -19.76
6,0.77,-4.63  -16.13  -9.17
7,0.63,-19.40  -16.92  -17.39
8,0.79,-12.23  -15.70  0.00
9,0.86,0.00  -16.66  -17.84
10,0.78,-27.47  -14.31  0.00
11,0.72,-30.50  0.00  -17.10
12,0.58,-19.44  -17.96  0.00
13,0.78,-26.08  -19.16  -19.84
14,0.77,-13.84  0.00  -17.27
15,0.69,-13.05  -8.40  -4.85
16,0.74,-10.03  -19.37  -10.55
17,0.55,-22.15  -34.95  0.00
18,0.58,-16.18  -9.33  -10.02
19,0.80,-25.84  0.00  -13.29
20,0.63,-18.21  -30.43  0.00
21,0.73,-10.58  -7.94  -17.48
22,0.67,-9.89  -12.62  -11.49
23,0.65,-14.69  0.00  -9.25
24,0.65,-21.50  -18.15  -13.94
25,0.69,0.00  -9.46  -20.20
26,0.65,0.00  0.00  -21.68
27,0.80,-11.34  -17.85  -29.28
28,0.77,-9.09  -6.84  -10.55
29,0.65,0.00  -14.28  -28.96
30,0.67,-18.72  -17.29  -16.91
31,0.64,-11.25  -12.74  -13.39
32,0.59,-10.77  -7.61  -16.64
33,0.75,-11.56  -11.79  -20.49
34,0.60,-7.81  -5.81  -15.59
35,0.71,-24.78  -11.93  -10.98
36,0.74,-22.45  -18.83  -23.84
37,0.72,-15.95  -19.72  -7.73
38,0.64,-19.22  -13.02  -7.72
39,0.64,0.00  -23.86  0.00
40,0.85,-14.00  -15.00  -17.28
41,0.76,-14.63  -22.94  0.00
42,0.75,0.00  -19.37  -36.18
43,0.66,-20.91  -11.69  -12.10
44,0.78,-17.92  -18.86  0.00
45,0.79,-18.37  0.00  -27.28
46,0.54,-13.22  -12.80  0.00
47,0.65,-18.00  -14.28  -16.37
48,0.82,-23.04  -15.47  -8.66
49,0.56,-19.27  -17.90  -21.78
50,0.73,-7.60  -10.46  -16.21
51,0.80,-16.33  -26.24  -9.92
52,0.72,-14.58  -15.12  -9.23
53,0.52,-27.93  -20.34  -13.43
54,0.73,-15.49  -15.40  -12.86
55,0.75,-27.55  -23.48  0.00
56,0.69,-14.18  -5.83  -6.58
57,0.66,-26.91  -11.48  -10.57
58,0.72,-12.83  -7.10  -16.50
59,0.71,-14.52  0.00  -12.61
60,0.64,-6.83  -14.26  -12.84
61,0.53,-13.60  -10.91  -8.61
62,0.79,-9.70  -15.88  -10.54
63,0.66,-25.48  0.00  -19.54
64,0.80,-15.36  -11.63  -21.21
65,0.59,-12.45  -24.50  -21.29
66,0.65,-15.80  -17.33  -25.36
67,0.70,-18.69  -10.16  -12.69
68,0.70,-6.51  -5.63  -12.93
69,0.69,-14.48  -19.11  -29.49
70,0.53,-14.75  -10.78  -17.35
71,0.49,-18.68  -18.44  -26.67
72,0.65,-5.00  -15.76  -4.14
73,0.59,-31.50  -12.74  -19.19
74,0.76,-14.45  0.00  -9.36
75,0.68,-7.53  -9.69  -15.25
76,0.52,-12.76  -8.80  -15.31
77,0.70,-8.59  -18.40  -19.24
78,0.61,-9.60  -8.50  -5.07
79,0.78,-20.29  -22.32  0.00
80,0.74,-27.23  -6.93  0.00
81,0.75,-10.61  -12.75  -12.38
82,0.65,-13.45  -11.42  -14.18
83,0.71,-23.82  -23.49  0.00
84,0.64,-7.59  -13.60  -14.49
85,0.59,-8.77  -10.22  -7.57
86,0.86,0.00  -13.22  -33.02
87,0.74,-5.75  -11.06  -10.70
88,0.60,-10.38  -5.91  -5.34
89,0.73,-11.36  -21.92  -12.41
90,0.69,-34.33  -18.80  0.00
91,0.62,0.00  -12.82  -9.82
92,0.73,-22.25  -13.39  -13.45
93,0.54,-24.15  0.00  -16.69
94,0.57,-21.32  -22.03  -16.72
95,0.47,-9.15  -4.85  -12.08
96,0.75,0.00  0.00  -31.00
97,0.53,-5.53  -7.95  -13.78
98,0.65,-16.59  -19.07  -18.78
99,0.51,-12.03  -14.03  -11.20
100,0.68,-15.04  -26.08  -13.60
101,0.75,-13.32  -14.04  -13.24
102,0.55,-30.10  -19.71  -16.70
103,0.58,-11.62  -27.52  0.00
104,0.78,0.00  -25.21  -29.11
105,0.66,-16.95  0.00  -23.90
106,0.67,-20.14  -31.73  -17.94
107,0.76,-10.99  -12.87  -12.55
108,0.72,-6.18  -6.85  -15.08
109,0.56,-11.03  -16.79  -8.92
110,0.65,-11.64  -15.79  -13.56
111,0.84,-17.76  -12.78  -15.95
112,0.71,-23.51  -17.71  -14.03
113,0.69,-15.64  -7.55  -10.20
114,0.65,-13.82  -16.90  -25.59
115,0.82,-11.32  -10.04  -14.46
116,0.63,-22.48  -16.58  -19.19
117,0.72,0.00  -16.07  -19.32
118,0.89,-33.17  0.00  -21.93
119,0.52,-13.90  -17.14  0.00
120,0.82,0.00  -31.86  -16.24
121,0.59,-17.39  0.00  -19.18
122,0.82,-17.34  -11.51  -7.10
123,0.60,-7.58  -4.27  -10.64
124,0.72,-14.90  -20.03  -9.02
125,0.74,-6.80  -25.89  0.00
126,0.73,-29.31  0.00  -16.65
127,0.53,-9.78  -13.95  -14.58
128,0.55,-15.95  -8.00  -9.16
129,0.55,-15.75  -15.70  -10.22
130,0.67,-10.03  -12.41  -9.47
131,0.73,-5.37  -5.15  -10.21
132,0.71,-28.81  -16.37  0.00
133,0.57,-6.69  -22.32  0.00
134,0.84,-23.93  -8.82  -12.56
135,0.75,-10.11  -19.49  0.00
136,0.61,0.00  -19.52  -18.91
137,0.66,-33.81  0.00  0.00
138,0.75,0.00  -28.50  -23.45
139,0.77,-14.29  -19.91  -16.29
140,0.70,0.00  -16.32  -10.46
141,0.67,-7.31  -21.55  0.00
142,0.74,0.00  -27.56  0.00
143,0.90,-29.87  -15.59  0.00
144,0.66,-13.66  -10.62  -27.76
145,0.70,-22.44  -17.21  -15.85
146,0.68,-19.50  -17.14  -9.53
147,0.74,-5.51  -11.12  -12.01
148,0.68,-32.51  -13.96  -22.95
149,0.70,-9.28  -6.88  -6.25
150,0.66,-8.44  -19.09  -12.78
151,0.73,-15.66  -23.33  -15.62
152,0.62,-17.94  -8.42  -18.28
153,0.67,-10.52  -9.18  -24.38
154,0.54,-11.42  -9.84  -16.27
155,0.60,-16.39  -8.22  -13.12
156,0.76,-20.78  -18.25  -20.15
157,0.69,-17.94  -22.85  -17.00
158,0.50,-18.41  -6.28  -5.75
159,0.56,-25.45  0.00  -11.97
160,0.76,-11.12  -11.66  -19.65
161,0.69,-28.74  -11.49  -16.07
162,0.56,-22.96  0.00  -11.62
163,0.62,-26.57  -14.98  -13.79
164,0.65,0.00  -11.16  -20.74
165,0.66,0.00  -25.41  0.00
166,0.66,-14.73  -26.76  -9.19
167,0.64,-9.79  -13.35  -22.88
168,0.73,-21.03  -18.62  -15.08
169,0.79,-9.51  0.00  -27.11
170,0.80,-29.76  0.00  -23.53
171,0.58,-10.41  -16.06  -10.21
172,0.59,-7.82  -16.18  -7.35
173,0.61,-21.73  -9.73  -21.62
174,0.49,-5.43  -13.79  -8.15
175,0.59,-13.76  -9.32  -7.33
176,0.64,-7.82  -12.96  -10.17
177,0.60,-24.27  -16.69  -24.83
178,0.64,-26.20  -24.91  0.00
179,0.73,-15.87  0.00  -30.89
180,0.78,-11.98  -18.91  -11.22
181,0.79,-30.23  -22.33  -21.58
182,0.71,-17.03  -17.23  -7.46
183,0.58,-13.21  -8.46  -8.05
184,0.82,-13.55  -8.21  -11.19
185,0.64,-25.31  -12.30  0.00
186,0.69,-11.75  -9.35  -14.51
187,0.72,0.00  -29.34  -30.02
188,0.76,-16.22  0.00  -16.92
189,0.65,-12.18  0.00  -24.56
190,0.81,-21.64  -12.27  -13.27
191,0.56,-8.80  -11.11  -13.15
192,0.65,-14.78  -20.65  -11.22
193,0.58,-13.54  -8.61  -19.55
194,0.74,-14.24  -28.03  -11.33
195,0.51,-9.04  -11.19  -8.17
196,0.55,-27.87  -13.49  -20.41
197,0.69,-13.54  -16.91  -20.40
198,0.56,-13.07  -13.64  0.00
199,0.72,0.00  -23.23  -28.33
200,0.65,-16.52  0.00  -26.27
201,0.80,-21.41  -12.36  -14.25
202,0.70,-17.43  -8.74  -17.03
203,0.64,-11.15  -11.37  -29.70
204,0.59,-14.36  0.00  -16.38
205,0.63,-11.84  -22.19  -10.72
206,0.88,-17.54  0.00  -23.94
207,0.68,-18.95  -11.59  -10.17
208,0.63,-18.37  -32.35  -20.96
209,0.80,0.00  -23.71  -11.46
210,0.60,-18.57  -14.29  -14.37
211,0.79,-7.24  -7.79  -18.73
212,0.70,-15.33  -21.87  -10.20
213,0.76,-15.50  -20.57  -14.59
214,0.64,-14.15  -13.69  -7.55
215,0.90,-16.61  -17.99  -10.02
216,0.66,-15.24  0.00  -13.22
