id,q-table
0,-13.96  -15.85  -15.62
1,-28.31  0.00  -20.03
2,-11.62  -11.10  -4.91
3,-8.81  -13.84  -9.21
4,-20.87  -21.25  -20.86
5,-15.29  -12.13  -11.06
6,-10.66  0.00  -15.09
7,-20.14  0.00  -9.07
8,-36.27  0.00  0.00
9,-33.22  -19.78  -22.51
10,0.00  -17.44  -14.34
11,-11.44  -25.29  -16.85
12,-31.72  -16.52  -22.26
13,-11.42  -14.23  -10.05
14,-10.94  -11.84  -16.88
15,-22.49  -18.74  0.00
16,-30.70  -14.33  -17.61
17,-7.66  -25.44  0.00
18,-9.91  -21.62  -26.52
19,-13.24  -19.03  -14.74
20,-28.28  -12.15  -9.43
21,-9.40  -18.89  -11.87
22,-17.19  -16.75  -19.56
23,-34.54  -32.41  0.00
24,-10.60  0.00  -11.64
25,-10.37  0.00  -14.53
26,-13.84  -9.32  -8.35
27,-5.41  -11.21  -5.61
28,-23.21  -15.51  -15.09
29,-13.73  -29.59  -19.23
30,-19.49  -18.96  -22.59
31,0.00  -14.11  -5.59
32,-10.25  -8.69  -13.13
33,-17.25  -9.46  -26.11
34,-27.85  -9.66  0.00
35,-20.38  -19.48  -23.04
36,-13.77  -15.93  -23.94
37,-8.81  -8.15  -15.58
38,-12.74  -22.46  -12.99
39,-10.97  -11.10  -12.88
40,0.00  0.00  -20.57
41,-9.23  -8.85  -27.10
42,0.00  -25.83  -12.28
43,-30.44  -21.99  -12.28
44,-7.33  -14.31  -7.25
45,-18.93  0.00  -11.67
46,-11.21  -22.75  -15.32
47,-8.77  -14.39  -21.02
48,-13.74  -6.53  -10.38
49,-5.94  -16.13  -6.97
50,-17.06  -8.76  -6.23
51,-12.23  -15.97  -11.40
52,-22.48  -19.38  -8.40
53,-11.13  -10.47  -13.99
54,-24.39  -11.15  -12.36
55,-34.67  -12.59  0.00
56,-7.45  -17.95  -9.66
57,-22.15  0.00  -7.89
58,-28.66  -10.08  -10.57
59,-12.62  -19.56  -10.42
60,-13.99  -18.09  -11.85
61,0.00  -8.14  -18.08
62,-13.40  -5.06  -7.68
63,-12.95  -11.44  -8.40
64,-14.25  -9.49  0.00
65,-9.83  -10.94  -11.83
66,0.00  -23.79  -10.38
67,-9.69  -28.65  -12.33
68,-18.12  -7.41  -12.22
69,-12.73  -4.54  -5.09
70,-7.38  -8.45  -15.30
71,-20.96  -6.80  0.00
72,-9.72  -20.64  -7.60
73,-8.09  -8.19  -15.92
74,-8.02  -10.61  -10.76
75,-15.65  -29.35  -14.38
76,-16.48  -7.99  -18.33
77,-8.13  -8.26  -11.14
78,-13.48  -13.97  0.00
79,-17.30  -13.93  -22.36
80,-8.01  -12.16  -9.65
81,-16.41  -6.45  -9.70
82,-6.76  -12.99  -9.50
83,-10.01  -28.26  -13.46
84,-14.54  -15.20  0.00
85,-25.09  0.00  -30.47
86,-17.33  -20.67  -15.93
87,-13.56  -21.01  -10.40
88,-12.66  -7.72  -15.62
89,-17.94  -21.45  -34.04
90,-14.91  -13.48  -9.49
91,-16.23  -23.28  -18.80
92,-19.82  -28.65  0.00
93,-16.49  0.00  -11.01
94,-24.71  -15.53  -18.01
95,-21.89  -18.07  -15.89
96,-13.78  0.00  -25.89
97,-13.72  -14.36  -16.15
98,-15.12  -12.12  -7.83
99,-17.63  -18.40  -9.59
100,-12.00  0.00  -18.91
101,-20.09  -11.14  0.00
102,-10.24  -17.36  -22.96
103,-19.69  -10.02  0.00
104,-21.22  -20.07  0.00
105,-18.98  -21.08  -14.40
106,-17.86  -10.35  -11.00
107,-10.50  -26.46  0.00
108,-17.08  -5.07  -4.38
109,-16.07  -9.21  -9.49
110,-25.46  -12.47  0.00
111,-23.83  -8.59  0.00
112,-13.32  -17.04  -14.02
113,-14.77  -5.86  -8.36
114,-12.14  -24.20  0.00
115,-30.68  -12.94  -15.24
116,-20.80  -12.46  -9.20
117,-17.57  -17.21  -15.31
118,-15.17  -9.14  -6.90
119,-14.34  -10.48  -24.52
120,-10.61  -12.54  -12.55
121,0.00  -36.13  -11.03
122,-31.65  -18.14  0.00
123,-17.19  -18.35  -18.15
124,-16.27  -25.88  0.00
125,-22.04  -30.96  -16.02
126,-15.65  -7.99  -8.04
127,0.00  -14.68  -22.63
128,-25.40  -13.77  -16.95
129,-9.62  -9.73  -16.71
130,-23.16  -39.21  0.00
131,-15.48  -9.92  -13.71
132,-19.57  -23.26  -14.62
133,-22.85  -19.29  -9.33
134,-12.78  -8.75  -19.05
135,0.00  -6.57  -21.12
136,-18.46  -7.84  -10.30
137,-23.29  -23.33  -24.04
138,-14.79  -6.37  -9.62
139,-23.00  -10.18  0.00
140,-17.37  -10.19  0.00
141,-29.79  -9.64  -21.75
142,-8.84  -16.81  -11.50
143,-17.42  -14.46  -22.86
144,-25.30  -30.84  0.00
145,-18.61  -11.05  -5.95
146,-13.66  -21.61  -9.91
147,-16.86  -8.50  -14.42
148,-27.60  0.00  -18.76
149,-19.49  -15.24  0.00
150,-23.74  0.00  -20.32
151,-10.32  0.00  -27.64
152,-15.63  -8.50  -13.44
153,-21.05  -15.58  -10.81
154,-9.00  -15.85  -10.78
155,-12.36  -14.84  -14.07
156,-23.21  -13.04  -9.84
157,-11.05  -18.15  -29.94
158,-24.01  -20.66  0.00
159,-16.16  -26.95  -21.00
160,-20.28  -21.85  -17.44
161,-17.51  -12.43  -9.64
162,-22.60  -28.18  -16.09
163,-12.40  -19.69  -7.98
164,-5.41  -8.17  -18.69
165,-7.49  0.00  -15.23
166,0.00  -25.92  -13.78
167,-4.64  -17.09  -10.71
168,0.00  -32.30  -15.81
169,-11.84  -26.22  -13.76
170,-11.45  -26.67  -8.03
171,-8.14  -7.11  -18.76
172,-18.93  -14.30  -8.88
173,-14.15  -6.20  -7.90
174,-10.12  0.00  -23.09
175,-22.33  -10.88  0.00
176,-14.48  -15.83  -18.78
177,-5.40  -18.07  -5.00
178,-18.63  -12.09  -6.61
179,-17.57  -22.56  0.00
180,-23.89  0.00  -19.92
181,-31.32  -12.84  -12.05
182,-26.69  0.00  -6.68
183,-27.17  -12.81  -21.97
184,-17.88  -19.19  -11.89
185,-11.33  -25.27  -19.39
186,-21.21  -21.57  -14.19
187,-20.47  -25.62  -16.20
188,-16.98  -13.38  -11.95
189,-11.29  -13.70  -13.03
190,-18.25  -19.39  -18.01
191,-13.94  -15.55  -21.75
192,0.00  -17.58  -21.88
193,-14.93  -4.37  0.00
194,-16.53  -13.03  -8.70
195,-11.96  -8.01  -7.55
196,-23.85  -28.35  0.00
197,-24.28  -24.82  -20.79
198,-16.16  0.00  -16.31
199,-34.16  -11.95  0.00
200,-9.21  -13.12  -18.64
201,-8.84  -12.25  -8.59
202,-28.26  -14.03  -15.18
203,-24.98  -17.55  0.00
204,-13.22  -25.51  0.00
205,-6.14  -20.61  0.00
206,-6.21  -5.78  -14.42
207,-14.95  -6.90  -4.78
208,-16.43  -19.63  -11.35
209,-28.23  -21.95  -9.91
210,-10.25  -18.56  -8.37
211,-7.46  -8.67  -19.66
212,-17.24  -9.77  -8.79
213,-9.06  -7.92  -18.60
214,-29.72  -32.47  0.00
215,-10.93  -13.89  -11.40
216,-13.36  -25.71  -7.68
217,0.00  -34.13  -10.29
218,-5.68  -15.36  -7.45
