id,q-table
0,-13.96  -36.01  -15.62
1,-28.31  -26.45  -20.03
2,-11.62  -15.09  -12.65
3,-17.30  -13.84  -13.91
4,-33.08  -21.25  -28.68
5,-15.29  -12.13  -27.44
6,-10.66  -15.16  -15.09
7,-26.01  0.00  -17.06
8,-36.27  -7.68  -15.81
9,-33.52  -21.06  -22.51
10,-18.86  -17.44  -14.34
11,-17.04  -25.29  -27.14
12,-31.72  -19.05  -31.00
13,-11.42  -17.33  -12.83
14,-17.22  -11.84  -23.24
15,-22.49  -18.74  -17.78
16,-30.70  -31.48  -17.61
17,-16.23  -25.44  -16.01
18,-15.90  -27.97  -26.52
19,-21.10  -28.39  -14.74
20,-29.56  -23.08  -9.43
21,-18.06  -18.89  -18.09
22,-22.80  -26.46  -19.56
23,-34.54  -32.41  -22.45
24,-18.48  -11.51  -11.64
25,-10.37  -13.09  -14.53
26,-13.84  -13.66  -13.14
27,-5.41  -17.76  -5.61
28,-23.21  -23.71  -24.82
29,-20.86  -30.30  -19.23
30,-24.11  -23.19  -22.59
31,0.00  -17.46  -9.10
32,-10.25  -15.18  -19.16
33,-18.43  -19.55  -26.11
34,-27.85  -18.05  -12.30
35,-20.81  -24.91  -23.04
36,-31.10  -15.93  -23.94
37,-16.74  -13.04  -15.58
38,-18.03  -22.46  -24.71
39,-18.01  -22.05  -12.88
40,-6.72  -9.83  -20.57
41,-25.64  -8.85  -27.10
42,-16.66  -25.83  -19.51
43,-30.44  -28.92  -27.45
44,-15.43  -14.31  -7.25
45,-24.45  -9.78  -11.67
46,-26.33  -22.75  -15.32
47,-8.77  -14.39  -29.34
48,-15.99  -6.53  -19.69
49,-10.18  -16.13  -17.69
50,-17.06  -8.76  -18.58
51,-25.02  -15.97  -22.09
52,-22.48  -19.38  -27.39
53,-21.27  -19.06  -13.99
54,-24.39  -28.04  -26.20
55,-34.67  -24.57  -12.86
56,-19.87  -17.95  -22.17
57,-22.15  -12.58  -12.17
58,-28.66  -19.04  -23.44
59,-12.62  -26.40  -23.12
60,-17.00  -18.09  -17.11
61,-20.90  -8.14  -18.08
62,-21.24  -10.09  -7.68
63,-16.11  -22.08  -8.40
64,-16.42  -9.49  -5.78
65,-23.16  -10.94  -22.11
66,-16.06  -35.63  -10.38
