id,q-table
0,-18.93  -33.45  -22.45
1,-28.31  -25.58  -32.70
2,-16.82  -17.63  -20.89
3,-17.30  -19.84  -19.45
4,-33.08  -24.63  -28.68
5,-20.81  -12.13  -25.07
6,-21.91  -15.16  -19.44
7,-27.08  -6.01  -20.37
8,-36.27  -25.38  -24.48
9,-33.52  -32.53  -22.51
10,-25.29  -23.07  -19.77
11,-29.66  -28.40  -33.40
12,-31.71  -25.26  -31.00
13,-17.66  -17.33  -21.78
14,-24.50  -17.95  -28.45
15,-24.13  -23.77  -20.64
16,-28.87  -31.48  -19.58
17,-23.24  -25.44  -20.36
18,-28.15  -27.97  -38.76
19,-24.34  -28.39  -17.22
20,-33.22  -31.12  -9.43
21,-23.69  -25.76  -26.93
22,-31.43  -26.46  -32.47
23,-34.54  -31.17  -35.25
24,-18.48  -18.59  -14.71
25,-20.14  -18.53  -14.53
26,-19.18  -18.67  -18.89
27,-15.30  -17.76  -9.36
28,-27.12  -28.83  -29.74
29,-20.92  -31.12  -22.08
30,-24.11  -27.11  -27.21
31,-16.43  -17.46  -9.10
32,-16.02  -20.49  -19.16
33,-25.83  -20.10  -26.11
34,-27.85  -25.22  -24.03
35,-27.24  -34.05  -25.91
36,-34.62  -24.51  -23.94
37,-19.21  -14.86  -16.91
38,-22.21  -22.46  -26.47
39,-24.43  -22.05  -21.27
40,-14.90  -15.90  -20.57
41,-25.64  -27.15  -27.10
42,-19.08  -33.01  -27.00
43,-30.44  -33.59  -37.23
44,-21.29  -16.35  -14.12
45,-24.45  -20.23  -18.88
46,-28.37  -24.00  -20.04
47,-8.77  -19.77  -27.94
48,-23.69  -17.52  -19.69
49,-16.24  -16.13  -24.82
50,-18.49  -18.59  -18.58
51,-29.29  -26.46  -25.26
52,-31.31  -28.53  -29.16
53,-21.94  -27.63  -23.48
54,-23.57  -28.04  -26.20
55,-34.67  -27.34  -25.37
56,-21.88  -23.87  -25.87
57,-22.15  -20.30  -16.62
58,-28.66  -30.85  -23.44
59,-22.12  -26.40  -22.62
60,-25.99  -18.09  -30.55
61,-22.48  -20.03  -18.08
62,-21.24  -16.95  -16.57
63,-26.36  -22.08  -19.27
64,-16.42  -16.15  -14.98
65,-23.16  -26.10  -31.60
66,-16.06  -36.34  -30.30
67,-34.97  -25.40  -12.33
68,-18.12  -19.82  -24.42
69,-20.43  -11.00  -18.17
70,-25.50  -20.65  -21.31
71,-26.37  -22.08  -9.67
72,-24.33  -29.13  -25.08
73,-17.03  -8.19  -31.00
74,-13.14  -29.41  -10.76
75,-26.73  -31.70  -27.11
76,-24.82  -27.90  -28.30
77,-28.43  -11.66  -16.24
78,-13.48  -28.96  -18.77
79,-20.73  -32.45  -22.36
80,-12.81  -20.07  -15.99
81,-21.98  -19.52  -16.07
82,-13.95  -21.97  -15.81
83,-30.04  -36.66  -28.15
84,-20.95  -22.20  -19.00
85,-25.09  -20.23  -33.37
86,-31.41  -30.68  -24.81
87,-26.37  -31.29  -22.21
88,-30.86  -19.97  -25.20
89,-36.15  -39.19  -40.22
90,-34.49  -13.48  -17.89
91,-25.88  -28.77  -36.70
92,-23.48  -37.79  -14.93
93,-16.49  -10.02  -22.92
94,-34.94  -23.08  -21.39
95,-29.27  -27.62  -35.38
96,-28.05  -22.62  -25.89
97,-25.21  -20.79  -26.42
98,-21.11  -20.71  -26.00
99,-20.82  -31.31  -23.41
100,-18.39  -22.28  -22.33
101,-20.09  -19.16  -19.25
102,-30.10  -27.27  -32.83
103,-19.69  -19.93  -15.24
104,-28.73  -25.78  -24.21
105,-37.62  -23.78  -22.71
106,-32.88  -18.83  -20.54
107,-17.99  -27.85  -29.06
108,-17.08  -19.04  -18.05
109,-21.06  -22.67  -9.49
110,-25.78  -24.72  -21.08
111,-23.83  -23.71  -14.97
112,-21.68  -23.32  -28.10
113,-21.82  -18.08  -22.26
114,-22.46  -25.06  -7.57
115,-31.68  -28.77  -22.39
116,-20.80  -23.78  -25.06
117,-25.11  -24.17  -21.28
118,-21.11  -15.71  -12.06
119,-24.19  -22.27  -34.48
120,-16.79  -19.92  -22.41
121,-35.32  -40.11  -31.70
122,-36.16  -23.54  -25.52
123,-20.61  -30.44  -39.43
124,-21.00  -24.63  -32.36
125,-25.52  -28.79  -20.86
126,-15.65  -13.43  -23.27
127,-27.29  -23.06  -22.63
128,-36.36  -22.41  -24.37
129,-18.10  -29.68  -16.71
130,-31.25  -40.20  -29.34
131,-22.24  -30.26  -25.82
132,-25.93  -31.22  -23.48
133,-25.70  -29.29  -23.79
134,-22.40  -25.70  -22.09
135,-29.71  -12.67  -29.40
136,-25.53  -21.54  -21.93
137,-25.44  -28.77  -35.41
138,-22.07  -14.13  -14.26
139,-23.00  -27.27  -31.51
140,-20.88  -14.62  -15.08
141,-29.79  -42.41  -24.28
