id,epsilon,q_table
0,0.34,-32.86  -27.50  -30.42
1,0.49,-20.38  -14.24  -19.50
2,0.74,-28.95  -14.65  -27.88
3,0.40,-15.38  -17.42  -17.08
4,0.44,-25.13  -21.89  -24.36
5,0.58,-36.55  -20.21  -24.91
6,0.63,-15.69  -22.91  -14.41
7,0.46,-21.46  -16.92  -30.12
8,0.73,-27.56  -17.66  -9.67
9,0.76,0.00  -29.05  -28.28
10,0.62,-31.86  -24.02  -24.50
11,0.58,-30.50  -13.17  -25.80
12,0.40,-19.44  -28.20  -27.78
13,0.71,-23.51  -27.61  -36.89
14,0.68,-20.83  -16.85  -18.57
15,0.65,-13.05  -15.69  -17.05
16,0.56,-14.24  -26.42  -23.08
17,0.42,-28.22  -37.68  -33.90
18,0.43,-16.18  -21.95  -18.53
19,0.64,-25.84  -18.16  -20.10
20,0.42,-21.35  -30.55  -28.28
21,0.66,-20.13  -16.65  -25.36
22,0.53,-16.94  -17.51  -18.44
23,0.53,-14.69  -18.05  -9.25
24,0.50,-27.35  -18.15  -24.99
25,0.49,-13.81  -16.04  -25.54
26,0.48,-14.56  -12.32  -21.68
27,0.75,-24.42  -26.48  -29.23
28,0.72,-20.97  -19.76  -10.55
29,0.55,-10.65  -21.12  -38.45
30,0.50,-28.90  -28.71  -26.30
31,0.57,-26.53  -18.14  -13.39
32,0.45,-21.56  -18.01  -25.03
33,0.64,-19.08  -11.79  -30.43
34,0.49,-13.26  -12.42  -26.19
35,0.65,-33.25  -23.04  -15.31
36,0.67,-29.40  -18.83  -23.84
37,0.53,-29.98  -29.94  -19.93
38,0.51,-19.22  -21.90  -17.30
39,0.45,-10.44  -28.56  -16.67
40,0.77,-26.21  -23.94  -17.28
41,0.73,-30.69  -22.94  -24.97
42,0.58,-27.04  -21.38  -37.72
43,0.44,-20.91  -27.77  -28.11
44,0.63,-17.92  -25.97  -19.48
45,0.65,-18.37  -27.96  -31.89
46,0.41,-16.35  -19.73  -13.98
47,0.51,-20.18  -20.40  -30.34
48,0.73,-23.04  -20.83  -26.29
49,0.39,-29.83  -32.58  -24.94
50,0.60,-13.63  -17.23  -22.90
51,0.68,-16.33  -33.97  -28.66
52,0.60,-18.86  -15.12  -24.70
53,0.38,-27.93  -31.11  -28.67
54,0.66,-27.65  -24.44  -23.85
55,0.64,-27.55  -31.27  -36.95
56,0.62,-14.18  -22.33  -9.76
57,0.45,-36.49  -17.83  -25.94
58,0.65,-28.69  -19.67  -16.50
59,0.62,-14.52  -19.71  -24.40
60,0.43,-20.96  -16.66  -18.60
61,0.37,-20.59  -15.80  -21.46
62,0.65,-16.74  -17.57  -16.41
63,0.56,-25.48  -30.48  -26.31
64,0.67,-29.46  -28.55  -21.21
65,0.49,-21.97  -37.72  -21.29
66,0.50,-15.80  -24.35  -30.87
67,0.65,-26.81  -10.16  -27.97
68,0.66,-16.39  -19.15  -15.32
69,0.65,-35.45  -30.22  -25.60
70,0.36,-24.49  -29.59  -21.84
71,0.32,-28.42  -29.63  -25.01
72,0.48,-19.32  -15.76  -15.41
73,0.40,-27.83  -23.79  -36.03
74,0.65,-21.03  -14.70  -9.36
75,0.62,-7.53  -20.98  -18.28
76,0.34,-21.48  -18.34  -19.25
77,0.54,-17.80  -25.56  -24.77
78,0.48,-14.31  -13.98  -16.87
79,0.70,-37.58  -22.32  -23.24
80,0.64,-27.79  -12.07  -11.65
81,0.65,-20.63  -21.92  -16.82
82,0.51,-22.81  -17.84  -23.65
83,0.52,-23.82  -28.20  -24.35
84,0.43,-23.69  -13.60  -22.39
85,0.43,-15.18  -17.84  -10.79
86,0.75,-22.41  -19.28  -27.09
87,0.58,-23.41  -17.84  -16.73
88,0.41,-18.96  -10.15  -15.00
89,0.57,-11.36  -28.93  -26.23
90,0.57,-34.33  -33.10  -33.02
91,0.47,-15.32  -16.90  -17.60
92,0.65,-30.56  -22.98  -28.71
93,0.36,-27.64  -27.14  -30.06
94,0.45,-26.58  -26.29  -27.45
95,0.31,-19.40  -15.03  -17.36
96,0.57,-21.79  -18.35  -31.00
97,0.39,-13.85  -17.14  -16.96
98,0.52,-26.82  -30.09  -32.98
99,0.34,-22.93  -19.19  -26.97
100,0.48,-23.61  -26.08  -28.15
101,0.66,-22.45  -17.61  -21.22
102,0.39,-30.10  -38.89  -30.41
103,0.48,-23.38  -24.82  -23.10
104,0.62,0.00  -38.92  -28.47
105,0.59,-28.86  -19.15  -23.91
106,0.50,-30.76  -39.81  -23.12
107,0.67,-23.67  -12.87  -27.71
108,0.56,-18.99  -11.02  -17.76
109,0.39,-15.39  -23.67  -17.73
110,0.46,-28.85  -23.83  -22.06
111,0.80,-28.24  -15.93  -19.93
112,0.58,-22.29  -24.70  -25.53
113,0.58,-15.64  -20.35  -13.90
114,0.43,-20.63  -21.03  -31.84
115,0.75,-16.04  -10.04  -25.75
116,0.48,-30.50  -27.90  -39.06
117,0.69,-11.02  -27.26  -23.00
118,0.85,-33.17  -21.64  -34.44
119,0.38,-21.94  -25.58  -9.50
120,0.77,-20.36  -31.86  -34.03
121,0.42,-22.28  -22.42  -20.49
122,0.69,-28.07  -23.97  -19.86
123,0.46,-22.10  -4.27  -21.24
124,0.52,-19.40  -20.03  -30.16
125,0.56,-13.70  -33.18  -16.87
126,0.57,-29.31  -21.03  -20.05
127,0.39,-23.97  -23.13  -16.28
128,0.39,-19.02  -15.79  -13.22
129,0.41,-28.03  -15.70  -25.18
130,0.64,-10.03  -24.79  -20.35
131,0.55,-16.72  -12.98  -17.82
132,0.55,-28.81  -27.57  -35.23
133,0.44,-13.41  -28.18  -13.35
134,0.72,-33.29  -15.81  -15.92
135,0.67,-16.76  -19.49  -22.67
136,0.45,-29.61  -31.19  -33.18
137,0.60,-33.81  -24.43  -28.48
138,0.71,-17.53  -29.55  -29.94
139,0.70,-22.04  -26.14  -32.33
140,0.57,-20.19  -16.32  -17.69
141,0.55,-19.07  -23.78  -19.10
142,0.60,-25.85  -27.56  -24.84
143,0.84,-34.98  -31.98  -10.14
144,0.60,-26.40  -27.76  -27.76
145,0.50,-24.47  -25.93  -19.16
146,0.49,-29.64  -28.24  -27.18
147,0.71,-13.48  -19.32  -16.04
148,0.57,-32.51  -32.79  -30.52
149,0.56,-9.28  -10.70  -26.54
150,0.51,-16.23  -19.39  -17.82
151,0.58,-30.95  -34.71  -28.19
152,0.52,-30.79  -20.24  -22.89
153,0.54,-23.85  -15.71  -25.07
154,0.39,-23.85  -17.41  -24.04
155,0.43,-21.37  -20.55  -17.64
156,0.60,-25.75  -30.11  -21.52
157,0.56,-26.77  -32.41  -21.52
158,0.36,-26.76  -18.06  -22.18
159,0.38,-25.45  -21.10  -19.85
160,0.65,-11.12  -29.01  -27.15
161,0.65,-26.36  -27.00  -22.77
162,0.37,-22.34  -19.99  -25.63
163,0.46,-32.65  -32.11  -26.00
164,0.44,-18.20  -20.53  -29.68
165,0.46,-22.61  -25.41  -5.64
166,0.60,-27.85  -28.12  -15.32
167,0.47,-26.10  -34.19  -23.83
168,0.55,-36.74  -23.43  -20.90
169,0.70,-18.99  -10.33  -36.91
170,0.76,-29.76  -25.93  -30.87
171,0.43,-10.41  -21.83  -22.07
172,0.48,-23.42  -17.66  -20.39
173,0.50,-34.57  -18.30  -33.10
174,0.34,-13.05  -17.70  -16.31
175,0.41,-23.17  -21.32  -19.22
176,0.48,-13.70  -15.11  -18.47
177,0.43,-25.89  -29.59  -32.87
178,0.45,-26.20  -28.88  -18.36
179,0.56,-15.87  -24.56  -38.72
180,0.73,-26.13  -23.46  -18.72
181,0.74,-38.81  -27.02  -24.30
182,0.66,-17.03  -21.28  -27.30
183,0.45,-20.52  -15.75  -12.12
184,0.69,-18.54  -18.62  -18.64
185,0.58,-25.31  -17.27  -25.14
186,0.49,-17.09  -17.88  -22.60
187,0.63,0.00  -28.28  -29.38
188,0.62,-16.22  -23.44  -16.92
189,0.58,-22.61  -27.80  -24.56
190,0.76,-24.11  -19.80  -23.83
191,0.42,-25.65  -20.78  -15.24
192,0.53,-27.10  -20.65  -18.33
193,0.43,-34.51  -20.12  -19.55
194,0.65,-28.75  -32.10  -28.21
195,0.36,-17.32  -15.03  -17.84
196,0.38,-27.87  -28.91  -35.39
197,0.49,-18.80  -28.42  -21.22
198,0.39,-15.08  -13.64  -21.35
199,0.59,-15.81  -26.47  -25.28
200,0.53,-23.91  -25.24  -27.57
201,0.68,-27.63  -12.36  -20.42
202,0.62,-17.43  -31.47  -21.28
203,0.58,-22.52  -22.67  -29.70
204,0.47,-21.25  -14.47  -16.38
205,0.54,-19.75  -22.19  -25.58
206,0.81,-26.37  -18.75  -28.11
207,0.58,-24.00  -24.61  -27.80
208,0.49,-22.96  -29.71  -21.35
209,0.65,-22.02  -27.63  -11.46
210,0.44,-28.76  -19.87  -16.82
211,0.75,-17.24  -14.14  -34.55
212,0.55,-25.37  -26.44  -29.20
213,0.66,-18.84  -28.70  -17.30
214,0.55,-24.14  -21.85  -12.14
215,0.86,-25.61  -23.38  -20.70
216,0.45,-15.24  -20.50  -22.30
217,0.46,-18.93  -24.10  -21.24
218,0.55,-20.85  -23.80  -20.44
219,0.46,-27.01  -25.31  -27.28
220,0.68,-40.56  -26.40  -23.45
221,0.73,-25.30  -17.36  -18.79
222,0.43,-25.62  -19.24  -23.06
223,0.74,-16.23  -34.69  -15.70
224,0.67,-20.61  -29.06  -14.74
225,0.54,-21.02  -27.79  -26.43
226,0.43,-36.00  -24.13  -24.54
227,0.51,-21.70  -24.02  -34.40
228,0.64,-30.46  -25.11  -22.65
229,0.31,-24.71  -23.30  -28.24
230,0.46,-34.84  -31.67  -29.51
231,0.42,-29.21  -23.44  -24.18
232,0.37,-17.66  -18.95  -27.13
233,0.62,-18.53  -18.84  -21.91
234,0.64,-25.24  -31.12  -28.11
235,0.53,-30.48  -27.67  -33.21
236,0.48,-11.35  -22.30  -26.47
237,0.47,-19.13  -5.77  -21.20
238,0.49,-13.10  -20.11  -18.57
239,0.63,-23.73  -25.01  -20.44
240,0.42,-23.71  -23.96  -22.26
241,0.82,-18.26  -36.82  -36.08
242,0.65,-25.85  -25.27  -29.12
243,0.70,-27.42  -18.95  -17.89
244,0.61,-24.61  -18.47  -30.59
245,0.63,-21.56  -36.08  -19.03
246,0.61,-23.36  -21.46  -30.99
247,0.71,-10.57  -32.85  -14.32
248,0.87,-22.62  -25.09  -14.76
249,0.52,-22.15  -18.93  -20.23
250,0.66,-27.77  -21.48  -18.65
251,0.68,-24.85  -26.47  -19.50
252,0.45,-24.96  -25.20  -28.66
253,0.53,-26.42  -26.78  -27.68
254,0.52,-31.33  -23.87  -19.94
255,0.37,-32.02  -22.73  -18.28
256,0.52,-14.44  -15.46  -15.90
257,0.47,-8.16  -26.54  -27.02
258,0.43,-19.17  -18.03  -19.68
259,0.43,-26.21  -22.95  -24.31
260,0.45,-21.59  -25.64  -31.52
261,0.43,-18.89  -12.60  -29.09
262,0.53,-19.30  -24.00  -26.08
263,0.42,-25.17  -31.07  -29.38
