id,epsilon,q_table
0,0.55,-15.96  -27.50  0.00
1,0.75,0.00  -7.53  -19.50
2,0.88,-13.54  0.00  -14.26
3,0.58,-7.32  -4.57  -5.82
4,0.69,-11.27  -13.35  -11.85
5,0.76,-19.39  -13.80  0.00
6,0.81,-4.63  -8.98  -9.17
7,0.68,0.00  -16.92  -17.39
8,0.81,-7.89  -15.70  0.00
9,0.89,0.00  -10.12  -17.84
10,0.82,-27.47  0.00  0.00
11,0.76,-26.89  0.00  -17.10
12,0.64,-19.44  -16.47  0.00
13,0.80,-19.94  -19.16  -19.84
14,0.79,-13.84  0.00  -11.51
15,0.71,-13.05  -8.40  0.00
16,0.79,-10.03  -19.37  0.00
17,0.59,-22.15  -26.23  0.00
18,0.62,-16.18  0.00  -10.02
19,0.84,-25.84  0.00  0.00
20,0.70,-18.21  -26.52  0.00
21,0.75,-10.58  -7.94  -11.13
22,0.71,-9.89  -4.79  -11.49
23,0.69,-14.69  0.00  0.00
24,0.69,-9.53  -18.15  -13.94
25,0.75,0.00  -9.46  -12.09
26,0.70,0.00  0.00  -22.28
27,0.81,-11.34  -17.85  -18.32
28,0.78,-4.81  -6.84  -10.55
29,0.68,0.00  -14.28  -26.16
30,0.72,-18.72  -17.29  -13.13
31,0.66,-11.25  -12.74  -8.73
32,0.63,-10.77  0.00  -16.64
33,0.78,-11.56  0.00  -20.49
34,0.63,-7.81  0.00  -15.59
35,0.72,-24.78  -11.93  0.00
36,0.76,-22.45  -12.79  -23.84
37,0.78,-15.95  -19.72  0.00
38,0.68,-19.22  -13.02  0.00
39,0.70,0.00  -24.06  0.00
40,0.87,-14.00  -15.00  -7.41
41,0.77,-10.38  -22.94  0.00
42,0.81,0.00  -19.37  -28.83
43,0.73,-20.91  0.00  -12.10
44,0.82,-7.31  -18.86  0.00
45,0.82,-18.37  0.00  -27.70
46,0.58,-13.22  -5.64  0.00
47,0.69,-14.69  -14.28  -16.37
48,0.85,-23.04  0.00  -8.66
49,0.61,-19.27  0.00  -21.78
50,0.76,-7.60  0.00  -16.21
51,0.83,-16.33  -13.33  -9.92
52,0.75,-14.58  -7.95  -9.23
53,0.56,-27.93  -20.34  0.00
54,0.75,-15.49  -15.40  0.00
55,0.78,-18.84  -23.48  0.00
56,0.71,-14.18  0.00  -6.58
57,0.73,-9.58  -11.48  -10.57
58,0.74,0.00  -7.10  -16.50
59,0.73,-4.62  0.00  -12.61
60,0.71,-6.83  -14.26  0.00
61,0.58,-13.60  0.00  -8.61
62,0.82,-9.70  -13.32  -10.54
63,0.68,-10.54  0.00  -19.54
64,0.83,-9.29  -11.63  -21.21
65,0.61,-12.45  -24.50  0.00
66,0.69,-15.80  0.00  -25.36
67,0.71,-9.27  -10.16  -12.69
68,0.71,-6.51  -5.63  -7.63
69,0.71,-14.48  0.00  -29.49
70,0.59,-14.75  -10.78  -14.09
71,0.55,0.00  -18.44  -26.67
72,0.70,0.00  -15.76  -4.14
73,0.65,-31.50  -12.74  0.00
74,0.79,-9.75  0.00  -9.36
75,0.69,-7.53  -9.69  -7.09
76,0.57,-12.76  -8.80  -12.00
77,0.75,-8.59  -18.40  -7.73
78,0.64,-6.45  -8.50  -5.07
79,0.81,-9.02  -22.32  0.00
80,0.77,-19.03  -6.93  0.00
81,0.77,-10.61  -6.69  -12.38
82,0.69,-8.51  -11.42  -14.18
83,0.77,-23.82  -16.35  0.00
84,0.70,-7.59  0.00  -14.49
85,0.64,-8.77  -6.33  -7.57
86,0.88,0.00  -13.22  -31.04
87,0.79,-5.75  -11.06  -5.13
88,0.67,-7.28  -5.91  -5.34
89,0.78,-11.36  -11.01  -12.41
90,0.72,-30.08  -18.80  0.00
91,0.66,0.00  -12.82  -4.45
92,0.76,-22.25  -13.39  0.00
93,0.59,-22.16  0.00  -16.69
94,0.60,-21.32  -22.03  0.00
95,0.52,-9.15  -4.85  -7.83
96,0.80,0.00  0.00  -26.58
97,0.57,-5.53  -7.95  -9.38
98,0.69,-16.59  0.00  -18.78
99,0.56,-12.03  0.00  -11.20
100,0.75,-15.04  -14.85  -13.60
101,0.77,-7.53  -14.04  -13.24
102,0.59,-30.10  -19.71  0.00
103,0.61,-11.62  -18.68  0.00
104,0.83,0.00  -25.21  -11.90
105,0.68,-16.95  0.00  -11.87
106,0.72,0.00  -31.73  -17.94
107,0.78,0.00  -12.87  -12.55
108,0.77,-6.18  -6.85  -4.76
109,0.62,-11.03  -7.93  -8.92
110,0.71,-11.64  -9.75  -13.56
111,0.85,-17.76  -12.78  -11.98
112,0.74,-17.12  -17.71  -14.03
113,0.73,-15.64  0.00  -10.20
114,0.72,-13.82  -16.90  -14.33
115,0.84,-11.32  0.00  -14.46
