id,q-table
0,-13.96  0.00  -10.35
1,-17.99  0.00  -11.52
2,0.00  -4.77  -4.91
3,-8.81  0.00  -9.21
4,0.00  0.00  -20.86
5,-15.29  0.00  0.00
6,0.00  0.00  -11.13
7,-9.32  0.00  -9.07
8,-23.50  0.00  0.00
9,-33.22  0.00  0.00
10,0.00  -9.58  -14.34
11,0.00  -10.14  -16.85
12,-16.02  -16.52  0.00
13,-11.42  -11.42  0.00
14,-10.94  0.00  -8.68
15,-14.61  -8.27  0.00
16,-30.70  0.00  0.00
17,-7.66  -13.48  0.00
18,-9.91  -21.62  0.00
19,-13.24  -9.15  0.00
20,-19.27  -12.15  0.00
21,0.00  -18.89  0.00
22,-17.19  -16.75  0.00
23,-22.98  -21.16  0.00
24,-5.50  0.00  -5.76
25,-6.37  0.00  -11.82
26,-10.11  -9.32  0.00
27,-5.41  -7.52  0.00
28,-18.96  0.00  -15.09
29,-13.73  0.00  -19.23
30,0.00  -18.96  -9.90
31,0.00  -5.62  -5.59
32,0.00  -8.69  -8.29
33,-17.25  0.00  -16.35
34,-15.15  -9.66  0.00
35,-9.78  -19.48  0.00
36,0.00  -15.93  -13.41
37,-8.81  -8.15  0.00
38,0.00  -15.24  -12.99
39,0.00  -11.10  -8.55
40,0.00  0.00  -9.76
41,-9.23  0.00  -14.78
42,0.00  -18.63  0.00
43,-19.47  0.00  -12.28
44,-7.33  -6.23  0.00
45,-12.11  0.00  -7.03
46,0.00  -17.83  -15.32
47,-8.77  -14.39  0.00
48,-6.15  0.00  -10.38
49,0.00  -16.13  0.00
50,-10.39  -8.76  0.00
51,-7.78  0.00  -11.40
52,-16.21  0.00  -8.40
53,-11.13  -6.29  0.00
54,-19.42  -11.15  0.00
55,-21.20  -12.59  0.00
56,-7.45  -13.24  0.00
57,-9.92  0.00  -7.89
58,-20.49  -10.08  0.00
59,-12.62  -9.98  0.00
60,-13.99  -9.82  0.00
61,0.00  0.00  -16.20
62,0.00  -5.06  -7.68
63,-7.62  0.00  -8.40
64,-6.43  -9.49  0.00
65,-9.83  -10.94  0.00
66,0.00  -10.25  -10.38
67,0.00  -21.70  -12.33
68,0.00  -7.41  -12.22
69,-12.73  0.00  0.00
70,-7.38  0.00  -10.07
71,-6.67  -6.80  0.00
72,-9.72  0.00  -7.60
73,-8.09  0.00  -11.04
74,-8.02  0.00  -10.76
75,0.00  -29.35  0.00
76,-7.88  -7.99  0.00
77,-8.13  0.00  -6.88
78,-13.48  0.00  0.00
79,-17.30  -13.93  0.00
80,0.00  -12.16  0.00
81,-8.59  -6.45  0.00
82,-6.76  -10.37  0.00
83,-10.01  -12.76  0.00
84,-8.10  -6.82  0.00
85,-13.38  0.00  -21.05
86,-17.33  0.00  -15.93
87,-13.56  -10.57  0.00
88,0.00  -7.72  -6.81
89,0.00  -21.45  -23.88
90,0.00  -9.54  -9.49
