id,q-table
0,-13.96  -33.45  -22.45
1,-28.31  -25.58  -21.95
2,-16.82  -17.63  -12.65
3,-17.30  -18.97  -19.45
4,-33.08  -25.46  -28.68
5,-20.81  -12.13  -27.93
6,-21.91  -15.16  -15.09
7,-27.08  0.00  -20.37
8,-36.27  -23.31  -24.48
9,-33.52  -26.72  -22.51
10,-18.86  -23.07  -19.77
11,-29.66  -28.40  -27.14
12,-30.90  -25.26  -31.00
13,-17.66  -17.33  -15.30
14,-24.50  -17.95  -23.24
15,-24.13  -18.74  -20.64
16,-29.58  -31.48  -19.58
17,-21.25  -25.44  -20.36
18,-28.15  -27.97  -34.35
19,-26.89  -28.39  -17.22
20,-33.22  -28.34  -9.43
21,-23.69  -25.76  -18.09
22,-22.80  -26.46  -32.47
23,-34.54  -27.10  -35.25
24,-18.48  -14.74  -14.71
25,-13.75  -18.53  -14.53
26,-13.84  -18.67  -18.89
27,-13.57  -17.76  -9.36
28,-27.12  -28.83  -24.82
29,-20.92  -30.30  -22.08
30,-24.11  -23.58  -27.21
31,-13.11  -17.46  -9.10
32,-16.02  -15.18  -19.16
33,-25.83  -19.55  -26.11
34,-27.85  -25.22  -17.13
35,-27.24  -24.91  -25.91
36,-34.62  -15.93  -23.94
37,-16.74  -14.86  -16.91
38,-19.91  -22.46  -26.47
39,-24.43  -22.05  -18.35
40,-13.47  -15.90  -20.57
41,-25.64  -21.24  -27.10
42,-16.66  -33.01  -27.00
43,-30.44  -25.16  -37.23
44,-15.43  -16.35  -14.12
45,-24.45  -20.23  -18.25
46,-28.37  -24.00  -15.32
47,-8.77  -19.77  -31.67
48,-15.99  -17.52  -19.69
49,-10.18  -16.13  -24.82
50,-17.06  -18.59  -18.58
51,-25.02  -26.46  -25.26
52,-22.48  -28.53  -29.16
53,-21.27  -27.63  -23.48
54,-24.96  -28.04  -26.20
55,-34.67  -24.57  -25.37
56,-19.87  -23.87  -25.87
57,-22.15  -19.45  -16.62
58,-28.66  -30.34  -23.44
59,-22.12  -26.40  -23.12
60,-25.99  -18.09  -25.17
61,-20.90  -20.03  -18.08
62,-21.24  -16.95  -11.42
63,-25.39  -22.08  -19.27
64,-16.42  -16.15  -12.73
65,-23.16  -26.10  -22.11
66,-16.06  -36.34  -15.78
67,-27.27  -25.40  -12.33
68,-18.12  -17.84  -24.42
69,-20.43  -4.54  -18.17
70,-25.50  -20.65  -15.30
71,-26.37  -19.40  -9.67
72,-17.63  -29.13  -25.08
73,-17.03  -8.19  -27.33
74,-13.14  -25.57  -10.76
75,-26.73  -25.49  -27.11
76,-24.82  -18.35  -28.30
77,-28.43  -8.26  -16.24
78,-13.48  -21.48  -18.77
79,-20.73  -23.04  -22.36
80,-12.81  -20.07  -14.20
81,-21.98  -18.43  -16.07
82,-13.95  -21.03  -15.81
83,-18.85  -36.66  -28.15
84,-20.95  -18.61  -19.00
85,-25.09  -18.19  -33.37
86,-31.41  -30.68  -21.36
87,-26.37  -21.01  -22.21
88,-30.86  -19.34  -25.20
89,-36.15  -39.19  -34.04
90,-34.49  -13.48  -13.08
91,-25.88  -28.77  -24.16
92,-23.48  -32.94  -14.93
93,-16.49  -10.02  -19.64
94,-30.85  -23.08  -21.39
95,-21.89  -27.62  -35.38
96,-28.05  -24.08  -25.89
97,-28.36  -20.79  -26.42
98,-21.11  -20.71  -22.75
99,-20.82  -31.31  -25.05
100,-18.39  -14.98  -22.33
101,-20.09  -16.72  -19.25
102,-30.10  -17.36  -32.83
103,-19.69  -19.93  -12.21
104,-21.40  -25.78  -24.21
105,-37.62  -26.49  -22.71
106,-32.88  -18.17  -20.54
107,-17.99  -27.85  -17.38
108,-17.08  -19.04  -13.16
109,-19.28  -22.67  -9.49
110,-25.78  -21.74  -21.08
111,-23.83  -21.26  -14.97
112,-22.37  -23.32  -28.10
113,-14.77  -18.08  -22.26
114,-21.95  -25.06  -7.57
115,-31.68  -27.29  -22.39
116,-20.80  -19.12  -25.06
117,-17.57  -24.17  -21.28
118,-18.71  -15.71  -12.06
119,-24.19  -19.03  -34.48
120,-13.84  -19.92  -22.41
121,-35.32  -40.11  -25.83
122,-31.65  -23.54  -25.52
123,-20.61  -18.35  -39.43
124,-18.39  -24.63  -32.36
125,-25.52  -28.43  -20.86
126,-15.65  -10.90  -23.27
127,-27.29  -23.61  -22.63
128,-36.04  -22.41  -24.37
129,-18.10  -26.34  -16.71
130,-27.98  -40.20  -29.34
131,-21.78  -30.26  -25.82
132,-25.93  -31.22  -20.48
133,-25.70  -30.03  -23.79
134,-22.40  -25.70  -20.30
135,-21.21  -12.67  -29.40
136,-18.46  -21.54  -21.93
137,-24.60  -28.77  -35.41
138,-22.07  -14.13  -12.03
139,-23.00  -25.15  -31.51
140,-20.88  -10.19  -15.08
141,-29.79  -36.26  -24.28
142,-21.61  -21.61  -18.61
143,-24.97  -24.17  -28.17
144,-25.19  -30.84  -37.81
145,-21.33  -16.91  -13.22
146,-21.87  -26.39  -29.17
147,-24.18  -8.50  -24.35
148,-27.60  -25.69  -29.92
149,-25.06  -17.77  -14.72
150,-23.74  -27.92  -20.27
151,-22.20  -8.52  -35.10
152,-25.44  -17.64  -25.39
153,-21.05  -23.41  -27.75
154,-22.53  -23.54  -17.37
155,-34.25  -26.21  -14.07
156,-23.21  -22.54  -20.63
157,-40.05  -30.01  -29.94
158,-34.38  -25.81  -24.20
159,-23.15  -26.95  -33.43
160,-23.63  -32.17  -32.92
161,-19.67  -23.74  -20.03
162,-32.85  -38.15  -27.39
163,-21.78  -19.69  -35.55
164,-12.62  -22.99  -19.13
165,-11.70  -19.10  -15.23
166,-15.67  -25.92  -26.54
167,-21.81  -19.77  -16.17
168,-18.39  -29.53  -18.28
169,-33.40  -37.32  -25.25
170,-25.00  -29.23  -13.29
171,-19.15  -25.59  -19.34
172,-19.35  -35.59  -8.88
173,-21.85  -15.91  -12.52
174,-13.66  -20.81  -22.79
175,-22.33  -23.55  -20.69
176,-21.26  -33.27  -24.53
177,-17.23  -18.07  -12.59
178,-23.28  -19.94  -23.95
179,-17.57  -27.37  -20.54
180,-23.31  -35.69  -19.92
181,-31.32  -27.81  -23.85
182,-24.60  -16.77  -11.85
183,-26.65  -22.22  -29.91
184,-31.25  -28.54  -24.57
185,-27.06  -25.27  -29.02
186,-32.20  -21.57  -37.05
187,-20.47  -26.07  -24.00
188,-20.11  -21.22  -18.24
189,-14.37  -24.08  -22.53
190,-19.69  -19.39  -27.68
191,-28.58  -28.80  -21.75
192,-31.34  -20.28  -31.61
193,-14.93  -9.76  -18.04
194,-16.53  -26.13  -16.73
195,-11.96  -17.48  -20.53
196,-33.00  -28.35  -31.27
197,-33.97  -24.46  -30.86
198,-22.70  -6.37  -24.86
199,-36.20  -16.51  -20.43
200,-25.88  -27.95  -30.81
201,-13.02  -21.69  -14.35
202,-35.93  -19.15  -24.76
203,-24.98  -25.39  -13.92
204,-13.22  -36.15  -31.33
205,-15.75  -20.61  -22.44
206,-15.12  -8.79  -18.55
207,-16.43  -15.98  -16.12
208,-22.96  -23.40  -22.57
209,-28.23  -27.04  -30.31
210,-20.27  -27.31  -16.77
211,-7.46  -26.41  -19.66
212,-17.24  -17.96  -16.18
213,-16.80  -24.27  -20.99
214,-39.06  -32.47  -25.96
215,-15.08  -21.66  -18.07
216,-32.32  -31.16  -7.68
217,-23.12  -31.25  -16.35
218,-21.23  -24.74  -18.27
219,-22.22  -20.50  -20.05
220,-15.54  -10.82  -14.24
221,-26.04  -14.08  -22.35
222,-19.57  -25.64  -22.40
223,-27.68  -23.53  -16.26
224,-9.17  -22.22  -11.39
225,-15.08  -20.78  -9.32
226,-14.48  -27.48  -26.00
227,-30.96  -25.80  -30.48
228,-26.67  -38.31  -15.06
229,-18.10  -21.84  -18.37
230,-15.10  -14.76  -15.59
231,-21.68  -28.26  -21.55
232,-35.43  -28.01  -39.45
233,-21.58  -21.97  -19.43
234,-22.29  -17.52  -40.50
235,-8.12  -24.47  -16.92
236,-18.40  -16.70  -20.44
237,-19.70  -14.09  -15.88
238,-33.12  -26.65  -14.43
239,-12.87  -11.60  -21.66
240,-26.27  -11.21  -20.20
241,-33.40  -26.03  -22.65
242,-20.28  -27.28  -18.86
243,-29.42  -22.70  -22.59
244,-26.03  -21.05  -5.15
245,-22.45  -18.01  -19.84
246,-15.78  -16.40  -27.20
247,-24.02  -28.66  -27.52
248,-21.18  -16.23  -19.66
249,-18.36  -19.74  -17.77
250,-19.88  -15.76  -14.26
251,-18.11  -31.78  -31.87
252,-17.47  -15.73  -27.24
253,-25.95  -27.51  -22.17
254,-31.03  -28.23  -26.40
255,-24.98  -17.86  -21.40
256,-24.53  -27.89  -30.18
257,-25.86  -26.97  -18.71
258,-19.53  -29.43  -27.52
259,-14.51  -6.86  -38.14
260,-25.81  -21.01  -23.08
261,-22.28  -35.83  -27.96
262,-23.24  -10.87  -14.78
263,-23.74  -23.08  -25.55
