id,q-table
0,-13.96  -27.42  -15.62
1,-28.31  -17.24  -20.03
2,-11.62  -15.09  -4.91
3,-17.30  -13.84  -9.21
4,-20.87  -21.25  -28.68
5,-15.29  -12.13  -18.95
6,-10.66  -8.26  -15.09
7,-20.14  0.00  -17.06
8,-36.27  -7.68  0.00
9,-33.52  -19.78  -22.51
10,-12.12  -17.44  -14.34
11,-11.44  -25.29  -27.14
12,-31.72  -19.05  -22.26
13,-11.42  -14.23  -12.83
14,-17.22  -11.84  -16.88
15,-22.49  -18.74  -8.54
16,-30.70  -24.79  -17.61
17,-7.66  -25.44  -16.01
18,-15.90  -21.62  -26.52
19,-13.24  -28.39  -14.74
20,-28.28  -23.08  -9.43
21,-18.06  -18.89  -11.87
22,-17.19  -26.46  -19.56
23,-34.54  -32.41  -18.55
24,-10.60  -11.51  -11.64
25,-10.37  -8.27  -14.53
26,-13.84  -13.66  -8.35
27,-5.41  -14.12  -5.61
28,-23.21  -23.71  -15.09
29,-20.86  -29.59  -19.23
30,-19.49  -23.19  -22.59
31,0.00  -14.11  -9.10
32,-10.25  -15.18  -13.13
33,-17.25  -19.55  -26.11
34,-27.85  -9.66  -12.30
35,-20.38  -24.91  -23.04
36,-26.51  -15.93  -23.94
37,-16.74  -8.15  -15.58
38,-18.03  -22.46  -12.99
39,-18.01  -11.10  -12.88
40,-6.72  0.00  -20.57
41,-23.20  -8.85  -27.10
42,0.00  -25.83  -19.51
43,-30.44  -28.92  -12.28
44,-10.73  -14.31  -7.25
45,-24.45  0.00  -11.67
46,-17.17  -22.75  -15.32
47,-8.77  -14.39  -30.12
48,-13.74  -6.53  -19.69
49,-10.18  -16.13  -6.97
50,-17.06  -8.76  -12.19
51,-12.23  -15.97  -22.09
52,-22.48  -19.38  -17.94
53,-21.27  -10.47  -13.99
54,-24.39  -11.15  -26.20
55,-34.67  -12.59  -12.86
56,-19.87  -17.95  -9.66
57,-22.15  -12.58  -7.89
58,-28.66  -19.04  -10.57
59,-12.62  -19.56  -23.12
60,-17.00  -18.09  -11.85
61,-10.08  -8.14  -18.08
62,-21.24  -5.06  -7.68
63,-12.95  -22.08  -8.40
64,-16.42  -9.49  0.00
65,-23.16  -10.94  -11.83
66,-16.06  -23.79  -10.38
67,-28.66  -28.65  -12.33
68,-18.12  -14.04  -12.22
69,-15.02  -4.54  -5.09
70,-7.38  -13.07  -15.30
71,-20.96  -12.38  0.00
72,-9.72  -20.64  -16.13
73,-8.09  -8.19  -22.29
74,-8.02  -17.15  -10.76
75,-28.43  -29.35  -14.38
76,-16.48  -13.79  -18.33
77,-17.92  -8.26  -11.14
78,-13.48  -13.97  -11.00
79,-17.30  -23.04  -22.36
80,-12.81  -12.16  -9.65
81,-21.98  -6.45  -9.70
82,-6.76  -21.03  -9.50
83,-10.01  -28.26  -25.88
84,-14.54  -15.20  -11.77
85,-25.09  0.00  -31.22
86,-17.33  -30.68  -15.93
87,-13.56  -21.01  -23.49
88,-12.66  -19.34  -15.62
89,-32.11  -21.45  -34.04
90,-24.13  -13.48  -9.49
91,-25.88  -23.28  -18.80
92,-19.82  -32.94  0.00
93,-16.49  -6.90  -11.01
94,-24.71  -15.53  -21.39
95,-21.89  -18.07  -29.66
96,-13.78  -14.58  -25.89
97,-18.81  -14.36  -16.15
98,-21.11  -12.12  -7.83
99,-17.63  -18.40  -17.73
100,-12.00  -11.79  -18.91
101,-20.09  -15.60  0.00
102,-10.24  -17.36  -29.53
103,-19.69  -10.02  -5.06
104,-21.40  -20.07  0.00
105,-18.98  -21.08  -22.71
106,-27.22  -10.35  -11.00
107,-10.50  -26.46  -17.38
108,-17.08  -9.16  -4.38
109,-18.30  -9.21  -9.49
110,-25.46  -12.47  -12.60
111,-23.83  -8.59  -9.97
112,-22.37  -17.04  -14.02
113,-14.77  -5.86  -16.74
114,-16.82  -24.20  0.00
115,-30.68  -27.29  -15.24
116,-20.80  -12.46  -18.00
117,-17.57  -24.37  -15.31
118,-15.17  -13.95  -6.90
119,-14.34  -19.03  -24.52
120,-13.84  -12.54  -12.55
121,0.00  -40.11  -11.03
122,-31.65  -18.14  -15.19
123,-20.61  -18.35  -18.15
124,-16.27  -25.88  -20.96
125,-27.82  -30.96  -16.02
126,-15.65  -10.90  -8.04
127,-7.69  -14.68  -22.63
128,-29.06  -13.77  -16.95
129,-18.10  -9.73  -16.71
130,-27.98  -39.21  0.00
131,-15.48  -23.47  -13.71
132,-19.57  -23.26  -20.48
133,-25.70  -19.29  -9.33
134,-12.78  -8.75  -20.30
135,0.00  -6.57  -29.40
136,-18.46  -13.66  -10.30
137,-23.29  -23.33  -26.06
138,-20.09  -6.37  -9.62
139,-23.00  -20.99  0.00
140,-17.37  -10.19  -4.16
141,-29.79  -22.15  -21.75
142,-8.84  -21.61  -11.50
143,-24.97  -14.46  -22.86
144,-25.30  -30.84  -17.70
145,-18.61  -15.69  -5.95
146,-13.66  -26.39  -9.91
147,-16.86  -8.50  -23.88
148,-27.60  -8.68  -18.76
149,-19.49  -15.24  -9.56
150,-23.74  0.00  -20.27
151,-22.20  0.00  -27.64
152,-15.63  -17.64  -13.44
153,-21.05  -15.58  -18.80
154,-14.66  -15.85  -10.78
155,-24.43  -14.84  -14.07
156,-23.21  -13.04  -17.84
157,-11.05  -30.01  -29.94
158,-24.01  -20.66  -11.92
159,-23.15  -26.95  -21.00
160,-20.28  -32.17  -17.44
161,-17.51  -12.43  -13.76
162,-22.60  -38.15  -16.09
163,-21.78  -19.69  -7.98
164,-5.41  -8.17  -19.13
165,-7.49  -7.44  -15.23
166,0.00  -25.92  -22.39
167,-13.77  -17.09  -10.71
168,0.00  -32.30  -18.28
169,-11.84  -26.22  -25.25
170,-25.00  -26.67  -8.03
171,-8.14  -14.77  -18.76
172,-18.93  -28.15  -8.88
173,-21.85  -6.20  -7.90
174,-13.66  0.00  -23.09
175,-22.33  -10.88  -13.25
176,-14.48  -25.20  -18.78
177,-5.40  -18.07  -10.13
178,-18.63  -19.94  -6.61
179,-17.57  -24.81  0.00
180,-23.89  -21.63  -19.92
181,-31.32  -12.84  -17.60
182,-24.60  0.00  -6.68
183,-26.65  -12.81  -21.97
184,-23.53  -19.19  -11.89
185,-27.06  -25.27  -19.39
186,-21.21  -21.57  -31.02
187,-20.47  -23.30  -16.20
188,-16.98  -13.38  -18.24
189,-11.29  -13.70  -22.53
190,-18.25  -19.39  -32.52
191,-13.94  -28.80  -21.75
192,-20.79  -17.58  -21.88
193,-14.93  -9.76  0.00
194,-16.53  -23.03  -8.70
195,-11.96  -8.01  -13.94
196,-23.85  -28.35  -13.51
197,-24.28  -24.82  -30.86
198,-16.16  -6.37  -16.31
199,-34.16  -11.95  -11.09
200,-25.88  -13.12  -18.64
201,-8.84  -12.25  -14.35
202,-28.26  -14.03  -24.84
203,-24.98  -17.55  -13.92
204,-13.22  -25.51  -17.75
205,-6.14  -20.61  -9.55
206,-11.12  -5.78  -14.42
207,-14.95  -6.90  -9.38
208,-19.43  -19.63  -11.35
209,-28.23  -21.95  -26.97
210,-10.25  -18.56  -16.77
211,-7.46  -17.81  -19.66
212,-17.24  -9.77  -13.62
213,-16.80  -7.92  -18.60
214,-29.72  -32.47  -20.83
215,-15.08  -13.89  -11.40
216,-24.67  -25.71  -7.68
217,-23.12  -34.13  -10.29
218,-14.88  -15.36  -7.45
219,-14.11  -13.33  -20.05
220,-12.66  -5.43  -12.27
221,-26.04  -8.81  -24.38
222,-17.11  -25.64  -17.82
223,-30.42  -10.37  -16.26
224,-9.17  -18.63  0.00
225,-6.90  -20.78  0.00
226,-14.48  -16.10  -14.51
227,-21.56  0.00  -30.48
228,-14.86  -35.40  -15.06
229,-15.96  -16.66  -9.13
230,-10.03  -7.59  -14.42
231,-10.08  -23.86  -21.55
232,-25.64  -28.01  -20.57
233,-21.58  -18.95  0.00
234,-22.29  -8.45  -28.38
235,-8.12  -23.30  -11.71
