--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2025-01-17 17:48:30,504] A new study created in memory with name: no-name-1bc773e1-d5eb-4dd9-a071-b2df2b467ceb
[I 2025-01-17 18:37:18,834] Trial 0 finished with value: -0.12385000288486481 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 0 with value: -0.12385000288486481.
[I 2025-01-17 19:41:29,680] Trial 1 finished with value: -0.1342708319425583 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 0 with value: -0.12385000288486481.
[I 2025-01-17 20:43:39,042] Trial 2 finished with value: -0.12583333253860474 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 0 with value: -0.12385000288486481.
[I 2025-01-17 22:15:56,088] Trial 3 finished with value: -0.13766667246818542 and parameters: {'lr': 0.01, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 0 with value: -0.12385000288486481.
[I 2025-01-17 22:51:58,888] Trial 4 finished with value: -0.11837500333786011 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-17 23:42:28,958] Trial 5 finished with value: -0.12966665625572205 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 01:13:56,421] Trial 6 finished with value: -0.15049999952316284 and parameters: {'lr': 0.01, 'gamma': 0.95, 'max_grad_norm': 0.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 02:47:58,927] Trial 7 finished with value: -0.12566666305065155 and parameters: {'lr': 0.01, 'gamma': 0.9, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 03:27:39,802] Trial 8 finished with value: -0.12775833904743195 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 04:22:23,518] Trial 9 finished with value: -0.125166654586792 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 04:59:24,680] Trial 10 finished with value: -0.12335000187158585 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
