--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2024-12-13 09:44:26,689] A new study created in memory with name: no-name-562e7d7e-bff2-4a9e-9485-27205080acdd
[I 2024-12-13 09:52:59,460] Trial 0 finished with value: -0.10783333331346512 and parameters: {'lr': 1e-05, 'gamma': 0.75, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.1, 'entropy_coef': 0.0}. Best is trial 0 with value: -0.10783333331346512.
[I 2024-12-13 10:01:35,468] Trial 1 finished with value: -0.1091499924659729 and parameters: {'lr': 0.0001, 'gamma': 0.75, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.3, 'entropy_coef': 0.001}. Best is trial 0 with value: -0.10783333331346512.
[I 2024-12-13 10:10:07,086] Trial 2 finished with value: -0.11539999395608902 and parameters: {'lr': 1e-06, 'gamma': 0.8, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.001}. Best is trial 0 with value: -0.10783333331346512.
[I 2024-12-13 10:18:39,845] Trial 3 finished with value: -0.10868333280086517 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 0.5, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0001}. Best is trial 0 with value: -0.10783333331346512.
[I 2024-12-13 10:27:13,673] Trial 4 finished with value: -0.10783333331346512 and parameters: {'lr': 1e-05, 'gamma': 0.7, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0001}. Best is trial 0 with value: -0.10783333331346512.
[I 2024-12-13 10:35:46,525] Trial 5 finished with value: -0.11011666804552078 and parameters: {'lr': 1e-06, 'gamma': 0.99, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 0 with value: -0.10783333331346512.
[I 2024-12-13 10:44:16,081] Trial 6 finished with value: -0.11341667175292969 and parameters: {'lr': 1e-07, 'gamma': 0.99, 'max_grad_norm': 2.0, 'lmbda': 1.0, 'clip_epsilon': 0.1, 'entropy_coef': 0.0001}. Best is trial 0 with value: -0.10783333331346512.
[I 2024-12-13 10:52:51,723] Trial 7 finished with value: -0.10676666349172592 and parameters: {'lr': 0.001, 'gamma': 0.6, 'max_grad_norm': 1.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 7 with value: -0.10676666349172592.
[I 2024-12-13 11:01:20,917] Trial 8 finished with value: -0.11141666769981384 and parameters: {'lr': 1e-07, 'gamma': 0.9, 'max_grad_norm': 2.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 7 with value: -0.10676666349172592.
[I 2024-12-13 11:09:51,112] Trial 9 finished with value: -0.11728332936763763 and parameters: {'lr': 1e-07, 'gamma': 0.6, 'max_grad_norm': 2.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.0001}. Best is trial 7 with value: -0.10676666349172592.
[I 2024-12-13 11:18:26,761] Trial 10 finished with value: -0.10378332436084747 and parameters: {'lr': 0.001, 'gamma': 0.6, 'max_grad_norm': 1.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 10 with value: -0.10378332436084747.
