--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2024-12-13 09:54:35,916] A new study created in memory with name: no-name-0731f3f8-5012-4503-b220-161eec7e7621
[I 2024-12-13 10:07:53,655] Trial 0 finished with value: -0.10798332840204239 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 0.5, 'lmbda': 0.85, 'clip_epsilon': 0.3, 'entropy_coef': 0.001}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 10:20:51,938] Trial 1 finished with value: -0.1138666644692421 and parameters: {'lr': 1e-07, 'gamma': 0.8, 'max_grad_norm': 2.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 10:34:21,361] Trial 2 finished with value: -0.11766666173934937 and parameters: {'lr': 0.01, 'gamma': 0.7, 'max_grad_norm': 2.0, 'lmbda': 0.9, 'clip_epsilon': 0.1, 'entropy_coef': 0.0}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 10:46:54,121] Trial 3 finished with value: -0.11626666784286499 and parameters: {'lr': 1e-07, 'gamma': 0.99, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 11:00:02,991] Trial 4 finished with value: -0.11100000143051147 and parameters: {'lr': 0.01, 'gamma': 0.75, 'max_grad_norm': 2.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0001}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 11:12:35,042] Trial 5 finished with value: -0.11221665889024734 and parameters: {'lr': 1e-07, 'gamma': 0.85, 'max_grad_norm': 1.5, 'lmbda': 0.85, 'clip_epsilon': 0.3, 'entropy_coef': 0.0}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 11:25:17,080] Trial 6 finished with value: -0.11219999939203262 and parameters: {'lr': 0.0001, 'gamma': 0.7, 'max_grad_norm': 0.5, 'lmbda': 1.0, 'clip_epsilon': 0.1, 'entropy_coef': 0.01}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 11:37:49,124] Trial 7 finished with value: -0.11243333667516708 and parameters: {'lr': 1e-07, 'gamma': 0.9, 'max_grad_norm': 2.0, 'lmbda': 0.95, 'clip_epsilon': 0.1, 'entropy_coef': 0.0}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 11:50:28,311] Trial 8 finished with value: -0.11151667684316635 and parameters: {'lr': 1e-06, 'gamma': 0.95, 'max_grad_norm': 1.5, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.0}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 12:03:34,874] Trial 9 finished with value: -0.11095000058412552 and parameters: {'lr': 0.001, 'gamma': 0.75, 'max_grad_norm': 2.0, 'lmbda': 0.95, 'clip_epsilon': 0.1, 'entropy_coef': 0.0}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 12:16:49,570] Trial 10 finished with value: -0.11201667785644531 and parameters: {'lr': 0.001, 'gamma': 0.6, 'max_grad_norm': 1.0, 'lmbda': 0.85, 'clip_epsilon': 0.3, 'entropy_coef': 0.001}. Best is trial 0 with value: -0.10798332840204239.
[I 2024-12-13 12:30:14,032] Trial 11 finished with value: -0.1056833267211914 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 0.5, 'lmbda': 0.95, 'clip_epsilon': 0.1, 'entropy_coef': 0.001}. Best is trial 11 with value: -0.1056833267211914.
