--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2024-12-13 12:38:48,983] A new study created in memory with name: no-name-816a10d7-c2df-44a5-9bd5-616aaf255cb4
[I 2024-12-13 12:51:21,898] Trial 0 finished with value: -0.10858333855867386 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.1, 'entropy_coef': 0.0001}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 13:03:51,085] Trial 1 finished with value: -0.11451666057109833 and parameters: {'lr': 1e-06, 'gamma': 0.75, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.3, 'entropy_coef': 0.001}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 13:17:03,869] Trial 2 finished with value: -0.11283333599567413 and parameters: {'lr': 0.01, 'gamma': 0.7, 'max_grad_norm': 1.0, 'lmbda': 0.85, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 13:30:15,593] Trial 3 finished with value: -0.11366666853427887 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 13:42:37,411] Trial 4 finished with value: -0.11433333903551102 and parameters: {'lr': 1e-07, 'gamma': 0.85, 'max_grad_norm': 2.0, 'lmbda': 0.95, 'clip_epsilon': 0.1, 'entropy_coef': 0.001}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 13:55:12,775] Trial 5 finished with value: -0.10898333787918091 and parameters: {'lr': 0.0001, 'gamma': 0.99, 'max_grad_norm': 0.5, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.0001}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 14:08:25,336] Trial 6 finished with value: -0.11349999904632568 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 0.5, 'lmbda': 0.85, 'clip_epsilon': 0.3, 'entropy_coef': 0.0001}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 14:20:36,323] Trial 7 finished with value: -0.11759999394416809 and parameters: {'lr': 1e-07, 'gamma': 0.99, 'max_grad_norm': 1.5, 'lmbda': 0.95, 'clip_epsilon': 0.1, 'entropy_coef': 0.001}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 14:33:06,728] Trial 8 finished with value: -0.11836666613817215 and parameters: {'lr': 0.001, 'gamma': 0.7, 'max_grad_norm': 2.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 14:45:27,854] Trial 9 finished with value: -0.10811667889356613 and parameters: {'lr': 0.0001, 'gamma': 0.6, 'max_grad_norm': 0.5, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 9 with value: -0.10811667889356613.
[I 2024-12-13 14:57:38,605] Trial 10 finished with value: -0.11213333159685135 and parameters: {'lr': 1e-05, 'gamma': 0.6, 'max_grad_norm': 1.5, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 9 with value: -0.10811667889356613.
[I 2024-12-13 15:09:58,321] Trial 11 finished with value: -0.11360000818967819 and parameters: {'lr': 0.0001, 'gamma': 0.6, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.1, 'entropy_coef': 0.0001}. Best is trial 9 with value: -0.10811667889356613.
[I 2024-12-13 15:22:15,233] Trial 12 finished with value: -0.10478333383798599 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 12 with value: -0.10478333383798599.
[I 2024-12-13 15:34:32,414] Trial 13 finished with value: -0.10975000262260437 and parameters: {'lr': 0.0001, 'gamma': 0.8, 'max_grad_norm': 0.5, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 12 with value: -0.10478333383798599.
[I 2024-12-13 15:46:48,924] Trial 14 finished with value: -0.10656667500734329 and parameters: {'lr': 0.0001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 12 with value: -0.10478333383798599.
[I 2024-12-13 15:58:57,774] Trial 15 finished with value: -0.11451665312051773 and parameters: {'lr': 1e-06, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 12 with value: -0.10478333383798599.
[I 2024-12-13 16:11:25,563] Trial 16 finished with value: -0.11196666210889816 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 12 with value: -0.10478333383798599.
[I 2024-12-13 16:23:39,889] Trial 17 finished with value: -0.10270000249147415 and parameters: {'lr': 1e-05, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 16:35:51,934] Trial 18 finished with value: -0.10613333433866501 and parameters: {'lr': 1e-05, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 16:48:02,482] Trial 19 finished with value: -0.10769999772310257 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 17:00:14,343] Trial 20 finished with value: -0.11076667159795761 and parameters: {'lr': 1e-05, 'gamma': 0.75, 'max_grad_norm': 1.5, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 17:12:25,764] Trial 21 finished with value: -0.1028333380818367 and parameters: {'lr': 1e-05, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 17:24:34,535] Trial 22 finished with value: -0.10734999179840088 and parameters: {'lr': 1e-05, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 17:36:46,369] Trial 23 finished with value: -0.1070999875664711 and parameters: {'lr': 1e-05, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 17:48:56,909] Trial 24 finished with value: -0.1028333380818367 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 18:01:09,005] Trial 25 finished with value: -0.10580000281333923 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 18:13:18,795] Trial 26 finished with value: -0.10646666586399078 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 18:25:29,829] Trial 27 finished with value: -0.10908333957195282 and parameters: {'lr': 1e-05, 'gamma': 0.8, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 18:37:40,762] Trial 28 finished with value: -0.10739999264478683 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 1.5, 'lmbda': 0.9, 'clip_epsilon': 0.1, 'entropy_coef': 0.01}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 18:49:50,408] Trial 29 finished with value: -0.11065001040697098 and parameters: {'lr': 1e-05, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 19:02:19,947] Trial 30 finished with value: -0.10708332806825638 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'lmbda': 1.0, 'clip_epsilon': 0.1, 'entropy_coef': 0.0001}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 19:14:24,414] Trial 31 finished with value: -0.11338333785533905 and parameters: {'lr': 1e-07, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 19:26:31,615] Trial 32 finished with value: -0.1158333346247673 and parameters: {'lr': 1e-06, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 19:38:51,251] Trial 33 finished with value: -0.1110166683793068 and parameters: {'lr': 0.0001, 'gamma': 0.75, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 19:50:57,518] Trial 34 finished with value: -0.1152999997138977 and parameters: {'lr': 1e-06, 'gamma': 0.7, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 20:03:44,505] Trial 35 finished with value: -0.11383333057165146 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 20:15:57,821] Trial 36 finished with value: -0.10633334517478943 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 2.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 20:28:04,021] Trial 37 finished with value: -0.11438333243131638 and parameters: {'lr': 1e-07, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.001}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 20:40:21,648] Trial 38 finished with value: -0.10611666738986969 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0001}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 20:53:10,793] Trial 39 finished with value: -0.10516667366027832 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.1, 'entropy_coef': 0.01}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 21:05:17,921] Trial 40 finished with value: -0.10851666331291199 and parameters: {'lr': 1e-05, 'gamma': 0.75, 'max_grad_norm': 2.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 21:18:07,741] Trial 41 finished with value: -0.11933332681655884 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.1, 'entropy_coef': 0.01}. Best is trial 17 with value: -0.10270000249147415.
[I 2024-12-13 21:30:53,995] Trial 42 finished with value: -0.10249999910593033 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.1, 'entropy_coef': 0.01}. Best is trial 42 with value: -0.10249999910593033.
