detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,31
-23283579#1,31
-23648008#0,53
-23648008#1,2
-25166682#0,53
-28675510#3,5
-28675510#5,1
-297047307,56
-297047310#2,21
-297047310#3,21
-309744810#1,7
-4936412,47
-8716807#0,14
-8716807#4,14
-8716807#5,14
133081985#0,16
133081985#1,16
133081987#0,47
133081987#3,54
186623965#15,0
22917421#5,1
22959550#0,32
22959550#1,18
22959550#3,18
22959550#4,18
23283435#1,31
23647126,14
23648008#1,2
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,61
28675510#1,84
28675510#4,20
297047310#4,3
