detid,flow
-186623965#14,31
-186623965#16,11
-22917421#14,20
-23283579#0,17
-23283579#1,17
-23648008#0,53
-23648008#1,3
-25166682#0,53
-28675510#3,6
-28675510#5,9
-297047307,60
-297047310#2,29
-297047310#3,29
-309744810#1,9
-4936412,47
-8716807#0,11
-8716807#4,11
-8716807#5,11
133081985#0,30
133081985#1,30
133081987#0,47
133081987#3,56
186623965#15,0
22917421#5,9
22959550#0,24
22959550#1,13
22959550#3,13
22959550#4,13
23283435#1,17
23647126,11
23648008#1,3
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,58
28675510#1,77
28675510#4,20
297047310#4,7
