detid,flow
-186623965#14,33
-186623965#16,11
-22917421#14,20
-23283579#0,10
-23283579#1,10
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,5
-28675510#5,11
-297047307,61
-297047310#2,31
-297047310#3,31
-309744810#1,11
-4936412,47
-8716807#0,11
-8716807#4,11
-8716807#5,11
133081985#0,37
133081985#1,37
133081987#0,47
133081987#3,58
186623965#15,0
22917421#5,11
22959550#0,22
22959550#1,11
22959550#3,11
22959550#4,11
23283435#1,10
23647126,11
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,58
28675510#1,74
28675510#4,20
297047310#4,8
