detid,flow
-186623965#14,33
-186623965#16,11
-22917421#14,20
-23283579#0,6
-23283579#1,6
-23648008#0,53
-23648008#1,6
-25166682#0,53
-28675510#3,7
-28675510#5,2
-297047307,66
-297047310#2,22
-297047310#3,22
-309744810#1,2
-4936412,47
-8716807#0,4
-8716807#4,4
-8716807#5,4
133081985#0,41
133081985#1,41
133081987#0,47
133081987#3,49
186623965#15,0
22917421#5,2
22959550#0,31
22959550#1,27
22959550#3,27
22959550#4,27
23283435#1,6
23647126,4
23648008#1,6
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,51
28675510#1,85
28675510#4,20
297047310#4,13
