detid,flow
-186623965#14,33
-186623965#16,11
-22917421#14,20
-23283579#0,47
-23283579#1,47
-23648008#0,53
-23648008#1,0
-25166682#0,53
-28675510#3,0
-28675510#5,33
-297047307,73
-297047310#2,53
-297047310#3,53
-309744810#1,0
-4936412,47
-8716807#0,0
-8716807#4,0
-8716807#5,0
133081985#0,0
133081985#1,0
133081987#0,47
133081987#3,47
186623965#15,0
22917421#5,33
22959550#0,0
22959550#1,0
22959550#3,0
22959550#4,0
23283435#1,47
23647126,0
23648008#1,0
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,47
28675510#1,47
28675510#4,20
297047310#4,20
