detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,5
-23283579#1,5
-23648008#0,53
-23648008#1,3
-25166682#0,53
-28675510#3,8
-28675510#5,7
-297047307,59
-297047310#2,27
-297047310#3,27
-309744810#1,15
-4936412,47
-8716807#0,13
-8716807#4,13
-8716807#5,13
133081985#0,42
133081985#1,42
133081987#0,47
133081987#3,62
186623965#15,0
22917421#5,7
22959550#0,26
22959550#1,13
22959550#3,13
22959550#4,13
23283435#1,5
23647126,13
23648008#1,3
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,60
28675510#1,81
28675510#4,20
297047310#4,6
