detid,flow
-186623965#14,32
-186623965#16,10
-22917421#14,20
-23283579#0,16
-23283579#1,16
-23648008#0,53
-23648008#1,8
-25166682#0,53
-28675510#3,6
-28675510#5,4
-297047307,56
-297047310#2,24
-297047310#3,24
-309744810#1,8
-4936412,47
-8716807#0,10
-8716807#4,10
-8716807#5,10
133081985#0,31
133081985#1,31
133081987#0,47
133081987#3,55
186623965#15,0
22917421#5,4
22959550#0,29
22959550#1,19
22959550#3,19
22959550#4,19
23283435#1,16
23647126,10
23648008#1,8
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,57
28675510#1,82
28675510#4,20
297047310#4,3
