detid,flow
-186623965#14,31
-186623965#16,10
-22917421#14,20
-23283579#0,20
-23283579#1,20
-23648008#0,53
-23648008#1,5
-25166682#0,53
-28675510#3,5
-28675510#5,10
-297047307,60
-297047310#2,30
-297047310#3,30
-309744810#1,5
-4936412,47
-8716807#0,5
-8716807#4,5
-8716807#5,5
133081985#0,27
133081985#1,27
133081987#0,47
133081987#3,52
186623965#15,0
22917421#5,10
22959550#0,23
22959550#1,18
22959550#3,18
22959550#4,18
23283435#1,20
23647126,5
23648008#1,5
23686088#0,47
23686088#1,47
23840713#0,60
23840971,58
28675510#0,52
28675510#1,75
28675510#4,20
297047310#4,7
