detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,12
-23283579#1,12
-23648008#0,53
-23648008#1,4
-25166682#0,53
-28675510#3,7
-28675510#5,4
-297047307,59
-297047310#2,24
-297047310#3,24
-309744810#1,9
-4936412,47
-8716807#0,11
-8716807#4,11
-8716807#5,11
133081985#0,35
133081985#1,35
133081987#0,47
133081987#3,56
186623965#15,0
22917421#5,4
22959550#0,29
22959550#1,18
22959550#3,18
22959550#4,18
23283435#1,12
23647126,11
23648008#1,4
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,58
28675510#1,83
28675510#4,20
297047310#4,6
