detid,flow
-186623965#14,34
-186623965#16,11
-22917421#14,20
-23283579#0,9
-23283579#1,9
-23648008#0,53
-23648008#1,9
-25166682#0,53
-28675510#3,5
-28675510#5,4
-297047307,57
-297047310#2,24
-297047310#3,24
-309744810#1,6
-4936412,47
-8716807#0,11
-8716807#4,11
-8716807#5,11
133081985#0,38
133081985#1,38
133081987#0,47
133081987#3,53
186623965#15,0
22917421#5,4
22959550#0,29
22959550#1,18
22959550#3,18
22959550#4,18
23283435#1,9
23647126,11
23648008#1,9
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,58
28675510#1,81
28675510#4,20
297047310#4,4
