detid,flow
-186623965#14,31
-186623965#16,12
-22917421#14,20
-23283579#0,13
-23283579#1,13
-23648008#0,53
-23648008#1,4
-25166682#0,53
-28675510#3,8
-28675510#5,16
-297047307,62
-297047310#2,36
-297047310#3,36
-309744810#1,9
-4936412,47
-8716807#0,9
-8716807#4,9
-8716807#5,9
133081985#0,34
133081985#1,34
133081987#0,47
133081987#3,56
186623965#15,0
22917421#5,16
22959550#0,17
22959550#1,8
22959550#3,8
22959550#4,8
23283435#1,13
23647126,9
23648008#1,4
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,56
28675510#1,72
28675510#4,20
297047310#4,9
