detid,flow
-186623965#14,31
-186623965#16,10
-22917421#14,20
-23283579#0,19
-23283579#1,19
-23648008#0,53
-23648008#1,4
-25166682#0,53
-28675510#3,6
-28675510#5,11
-297047307,59
-297047310#2,31
-297047310#3,31
-309744810#1,8
-4936412,47
-8716807#0,10
-8716807#4,10
-8716807#5,10
133081985#0,28
133081985#1,28
133081987#0,47
133081987#3,55
186623965#15,0
22917421#5,11
22959550#0,22
22959550#1,12
22959550#3,12
22959550#4,12
23283435#1,19
23647126,10
23648008#1,4
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,57
28675510#1,75
28675510#4,20
297047310#4,6
