detid,flow
-186623965#14,33
-186623965#16,11
-22917421#14,20
-23283579#0,7
-23283579#1,7
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,8
-28675510#5,10
-297047307,61
-297047310#2,30
-297047310#3,30
-309744810#1,9
-4936412,47
-8716807#0,10
-8716807#4,10
-8716807#5,10
133081985#0,40
133081985#1,40
133081987#0,47
133081987#3,56
186623965#15,0
22917421#5,10
22959550#0,23
22959550#1,13
22959550#3,13
22959550#4,13
23283435#1,7
23647126,10
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,57
28675510#1,78
28675510#4,20
297047310#4,8
