detid,flow
-186623965#14,30
-186623965#16,11
-22917421#14,20
-23283579#0,13
-23283579#1,13
-23648008#0,53
-23648008#1,4
-25166682#0,53
-28675510#3,14
-28675510#5,26
-297047307,67
-297047310#2,46
-297047310#3,46
-309744810#1,2
-4936412,47
-8716807#0,2
-8716807#4,2
-8716807#5,2
133081985#0,34
133081985#1,34
133081987#0,47
133081987#3,49
186623965#15,0
22917421#5,26
22959550#0,7
22959550#1,5
22959550#3,5
22959550#4,5
23283435#1,13
23647126,2
23648008#1,4
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,49
28675510#1,68
28675510#4,20
297047310#4,14
