detid,flow
-186623965#14,32
-186623965#16,10
-22917421#14,20
-23283579#0,19
-23283579#1,19
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,4
-28675510#5,19
-297047307,59
-297047310#2,39
-297047310#3,39
-309744810#1,14
-4936412,47
-8716807#0,4
-8716807#4,4
-8716807#5,4
133081985#0,28
133081985#1,28
133081987#0,47
133081987#3,61
186623965#15,0
22917421#5,19
22959550#0,14
22959550#1,10
22959550#3,10
22959550#4,10
23283435#1,19
23647126,4
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,51
28675510#1,65
28675510#4,20
297047310#4,6
