detid,flow
-186623965#14,33
-186623965#16,12
-22917421#14,20
-23283579#0,22
-23283579#1,22
-23648008#0,53
-23648008#1,1
-25166682#0,53
-28675510#3,8
-28675510#5,9
-297047307,63
-297047310#2,29
-297047310#3,29
-309744810#1,8
-4936412,47
-8716807#0,14
-8716807#4,14
-8716807#5,14
133081985#0,25
133081985#1,25
133081987#0,47
133081987#3,55
186623965#15,0
22917421#5,9
22959550#0,24
22959550#1,10
22959550#3,10
22959550#4,10
23283435#1,22
23647126,14
23648008#1,1
23686088#0,47
23686088#1,47
23840713#0,60
23840971,58
28675510#0,61
28675510#1,79
28675510#4,20
297047310#4,10
