detid,flow
-186623965#14,33
-186623965#16,11
-22917421#14,20
-23283579#0,20
-23283579#1,20
-23648008#0,53
-23648008#1,8
-25166682#0,53
-28675510#3,4
-28675510#5,16
-297047307,58
-297047310#2,36
-297047310#3,36
-309744810#1,14
-4936412,47
-8716807#0,6
-8716807#4,6
-8716807#5,6
133081985#0,27
133081985#1,27
133081987#0,47
133081987#3,61
186623965#15,0
22917421#5,16
22959550#0,17
22959550#1,11
22959550#3,11
22959550#4,11
23283435#1,20
23647126,6
23648008#1,8
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,53
28675510#1,68
28675510#4,20
297047310#4,5
