detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,13
-23283579#1,13
-23648008#0,53
-23648008#1,6
-25166682#0,53
-28675510#3,3
-28675510#5,5
-297047307,60
-297047310#2,25
-297047310#3,25
-309744810#1,4
-4936412,47
-8716807#0,8
-8716807#4,8
-8716807#5,8
133081985#0,34
133081985#1,34
133081987#0,47
133081987#3,51
186623965#15,0
22917421#5,5
22959550#0,28
22959550#1,20
22959550#3,20
22959550#4,20
23283435#1,13
23647126,8
23648008#1,6
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,55
28675510#1,78
28675510#4,20
297047310#4,7
