detid,flow
-186623965#14,31
-186623965#16,11
-22917421#14,20
-23283579#0,21
-23283579#1,21
-23648008#0,53
-23648008#1,9
-25166682#0,53
-28675510#3,3
-28675510#5,20
-297047307,57
-297047310#2,40
-297047310#3,40
-309744810#1,14
-4936412,47
-8716807#0,4
-8716807#4,4
-8716807#5,4
133081985#0,26
133081985#1,26
133081987#0,47
133081987#3,61
186623965#15,0
22917421#5,20
22959550#0,13
22959550#1,9
22959550#3,9
22959550#4,9
23283435#1,21
23647126,4
23648008#1,9
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,51
28675510#1,63
28675510#4,20
297047310#4,4
