detid,flow
-186623965#14,32
-186623965#16,10
-22917421#14,20
-23283579#0,12
-23283579#1,12
-23648008#0,53
-23648008#1,9
-25166682#0,53
-28675510#3,4
-28675510#5,13
-297047307,57
-297047310#2,33
-297047310#3,33
-309744810#1,11
-4936412,47
-8716807#0,11
-8716807#4,11
-8716807#5,11
133081985#0,35
133081985#1,35
133081987#0,47
133081987#3,58
186623965#15,0
22917421#5,13
22959550#0,20
22959550#1,9
22959550#3,9
22959550#4,9
23283435#1,12
23647126,11
23648008#1,9
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,58
28675510#1,71
28675510#4,20
297047310#4,4
