detid,flow
-186623965#14,33
-186623965#16,12
-22917421#14,20
-23283579#0,13
-23283579#1,13
-23648008#0,53
-23648008#1,10
-25166682#0,53
-28675510#3,6
-28675510#5,9
-297047307,57
-297047310#2,29
-297047310#3,29
-309744810#1,11
-4936412,47
-8716807#0,13
-8716807#4,13
-8716807#5,13
133081985#0,34
133081985#1,34
133081987#0,47
133081987#3,58
186623965#15,0
22917421#5,9
22959550#0,24
22959550#1,11
22959550#3,11
22959550#4,11
23283435#1,13
23647126,13
23648008#1,10
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,60
28675510#1,77
28675510#4,20
297047310#4,4
