detid,flow
-186623965#14,31
-186623965#16,11
-22917421#14,20
-23283579#0,9
-23283579#1,9
-23648008#0,53
-23648008#1,12
-25166682#0,53
-28675510#3,3
-28675510#5,9
-297047307,54
-297047310#2,29
-297047310#3,29
-309744810#1,18
-4936412,47
-8716807#0,3
-8716807#4,3
-8716807#5,3
133081985#0,38
133081985#1,38
133081987#0,47
133081987#3,65
186623965#15,0
22917421#5,9
22959550#0,24
22959550#1,21
22959550#3,21
22959550#4,21
23283435#1,9
23647126,3
23648008#1,12
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,50
28675510#1,74
28675510#4,20
297047310#4,1
