detid,flow
-186623965#14,33
-186623965#16,11
-22917421#14,20
-23283579#0,25
-23283579#1,25
-23648008#0,53
-23648008#1,2
-25166682#0,53
-28675510#3,7
-28675510#5,9
-297047307,63
-297047310#2,29
-297047310#3,29
-309744810#1,3
-4936412,47
-8716807#0,15
-8716807#4,15
-8716807#5,15
133081985#0,22
133081985#1,22
133081987#0,47
133081987#3,50
186623965#15,0
22917421#5,9
22959550#0,24
22959550#1,9
22959550#3,9
22959550#4,9
23283435#1,25
23647126,15
23648008#1,2
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,62
28675510#1,78
28675510#4,20
297047310#4,10
