detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,13
-23283579#1,13
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,6
-28675510#5,7
-297047307,64
-297047310#2,27
-297047310#3,27
-309744810#1,11
-4936412,47
-8716807#0,15
-8716807#4,15
-8716807#5,15
133081985#0,34
133081985#1,34
133081987#0,47
133081987#3,58
186623965#15,0
22917421#5,7
22959550#0,26
22959550#1,11
22959550#3,11
22959550#4,11
23283435#1,13
23647126,15
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,62
28675510#1,79
28675510#4,20
297047310#4,11
