detid,flow
-186623965#14,30
-186623965#16,10
-22917421#14,20
-23283579#0,17
-23283579#1,17
-23648008#0,53
-23648008#1,8
-25166682#0,53
-28675510#3,4
-28675510#5,0
-297047307,59
-297047310#2,20
-297047310#3,20
-309744810#1,9
-4936412,47
-8716807#0,12
-8716807#4,12
-8716807#5,12
133081985#0,30
133081985#1,30
133081987#0,47
133081987#3,56
186623965#15,0
22917421#5,0
22959550#0,33
22959550#1,21
22959550#3,21
22959550#4,21
23283435#1,17
23647126,12
23648008#1,8
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,59
28675510#1,84
28675510#4,20
297047310#4,6
