detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,27
-23283579#1,27
-23648008#0,53
-23648008#1,2
-25166682#0,53
-28675510#3,9
-28675510#5,6
-297047307,64
-297047310#2,26
-297047310#3,26
-309744810#1,3
-4936412,47
-8716807#0,18
-8716807#4,18
-8716807#5,18
133081985#0,20
133081985#1,20
133081987#0,47
133081987#3,50
186623965#15,0
22917421#5,6
22959550#0,27
22959550#1,9
22959550#3,9
22959550#4,9
23283435#1,27
23647126,18
23648008#1,2
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,65
28675510#1,83
28675510#4,20
297047310#4,11
