detid,flow
-186623965#14,32
-186623965#16,10
-22917421#14,20
-23283579#0,34
-23283579#1,34
-23648008#0,53
-23648008#1,5
-25166682#0,53
-28675510#3,2
-28675510#5,9
-297047307,66
-297047310#2,29
-297047310#3,29
-309744810#1,1
-4936412,47
-8716807#0,5
-8716807#4,5
-8716807#5,5
133081985#0,13
133081985#1,13
133081987#0,47
133081987#3,48
186623965#15,0
22917421#5,9
22959550#0,24
22959550#1,19
22959550#3,19
22959550#4,19
23283435#1,34
23647126,5
23648008#1,5
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,52
28675510#1,73
28675510#4,20
297047310#4,13
