detid,flow
-186623965#14,34
-186623965#16,11
-22917421#14,20
-23283579#0,7
-23283579#1,7
-23648008#0,53
-23648008#1,9
-25166682#0,53
-28675510#3,6
-28675510#5,7
-297047307,62
-297047310#2,27
-297047310#3,27
-309744810#1,15
-4936412,47
-8716807#0,19
-8716807#4,19
-8716807#5,19
133081985#0,40
133081985#1,40
133081987#0,47
133081987#3,62
186623965#15,0
22917421#5,7
22959550#0,26
22959550#1,7
22959550#3,7
22959550#4,7
23283435#1,7
23647126,19
23648008#1,9
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,66
28675510#1,79
28675510#4,20
297047310#4,9
