detid,flow
-186623965#14,30
-186623965#16,10
-22917421#14,20
-23283579#0,9
-23283579#1,9
-23648008#0,53
-23648008#1,2
-25166682#0,53
-28675510#3,5
-28675510#5,6
-297047307,69
-297047310#2,26
-297047310#3,26
-309744810#1,5
-4936412,47
-8716807#0,13
-8716807#4,13
-8716807#5,13
133081985#0,38
133081985#1,38
133081987#0,47
133081987#3,52
186623965#15,0
22917421#5,6
22959550#0,27
22959550#1,14
22959550#3,14
22959550#4,14
23283435#1,9
23647126,13
23648008#1,2
23686088#0,47
23686088#1,47
23840713#0,60
23840971,58
28675510#0,60
28675510#1,79
28675510#4,20
297047310#4,16
