detid,flow
-186623965#14,33
-186623965#16,11
-22917421#14,20
-23283579#0,11
-23283579#1,11
-23648008#0,53
-23648008#1,5
-25166682#0,53
-28675510#3,5
-28675510#5,6
-297047307,66
-297047310#2,26
-297047310#3,26
-309744810#1,7
-4936412,47
-8716807#0,15
-8716807#4,15
-8716807#5,15
133081985#0,36
133081985#1,36
133081987#0,47
133081987#3,54
186623965#15,0
22917421#5,6
22959550#0,27
22959550#1,12
22959550#3,12
22959550#4,12
23283435#1,11
23647126,15
23648008#1,5
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,62
28675510#1,79
28675510#4,20
297047310#4,13
