detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,5
-23283579#1,5
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,13
-28675510#5,4
-297047307,63
-297047310#2,24
-297047310#3,24
-309744810#1,6
-4936412,47
-8716807#0,13
-8716807#4,13
-8716807#5,13
133081985#0,42
133081985#1,42
133081987#0,47
133081987#3,53
186623965#15,0
22917421#5,4
22959550#0,29
22959550#1,16
22959550#3,16
22959550#4,16
23283435#1,5
23647126,13
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,60
28675510#1,89
28675510#4,20
297047310#4,10
